"year","name","n","value","sd_value","se_value","lcl_value","ucl_value"
2018,"Jan-Feb ice",2,0.0511518758740614,NA,NA,NA,NA
2018,"Mar-Apr ice",2,0.0387256118113445,NA,NA,NA,NA
2019,"Jan-Feb ice",2,0.0912082506876793,NA,NA,NA,NA
2019,"Mar-Apr ice",2,0.0331863408969624,NA,NA,NA,NA
2020,"Jan-Feb ice",2,0.161094083648309,NA,NA,NA,NA
2020,"Mar-Apr ice",2,0.151150590090873,NA,NA,NA,NA
2021,"Jan-Feb ice",2,0.131041808200739,NA,NA,NA,NA
2021,"Mar-Apr ice",2,0.159921009864511,NA,NA,NA,NA
2022,"Jan-Feb ice",2,0.199275322200545,NA,NA,NA,NA
2022,"Mar-Apr ice",2,0.167294781546114,NA,NA,NA,NA
2023,"Jan-Feb ice",2,0.158352289408147,NA,NA,NA,NA
2023,"Mar-Apr ice",2,0.16857982467431,NA,NA,NA,NA
2024,"Jan-Feb ice",2,0.150691046886027,NA,NA,NA,NA
2024,"Mar-Apr ice",2,0.190469094269013,NA,NA,NA,NA
2025,"Jan-Feb ice",2,0.104905516516055,NA,NA,NA,NA
2025,"Mar-Apr ice",2,0.160728389622767,NA,NA,NA,NA
