"","sm_term","lg_term","ice_term","tocc_term","k_terms","AICc","cv_rmse","edf_total","phi","dAICc","dRMSE"
"1","COHORT_ABUND","LG_ABUND_avg2",NA,NA,2,193.312197537806,4.9900338366299,3.35390041681245,0.121010003357874,0,0
"2","COHORT_ABUND","LG_ABUND_avg2",NA,"TOCC",3,197.095038199652,5.12517240141815,3.99999876681727,0.146312049487728,3.78284066184622,0.13513856478825
"3","COHORT_ABUND","LG_ABUND",NA,"TOCC_avg2",3,195.585613108331,6.02893898598206,4.00000005931432,-0.012200934730993,2.27341557052443,1.03890514935216
