"","YEAR","PROP_INDPREF","ALL_MAT","IND_PREF","COHORT_ABUND","LG_ABUND_lag1","LG_ABUND_avg2","ICE_avg2","ICE","TOCC_lag1","TOCC_avg2lag1","DF_BIOMASS","EXP_RATE","EXP_RATE_avg2","EXP_RATE_avg2lag2","EXP_RATE_lag2"
"1",1989,0.113014379427231,1597.17854675624,180.504142296143,2507.49353815519,NA,NA,NA,0.143299242914939,NA,NA,80.01,0.592142475117164,NA,NA,NA
"2",1990,0.286133887306591,1372.06967032435,392.595628425379,1635.92649067488,526.76485541288,869.221254672034,0.226534445626395,0.309769648337851,2.06448333640225,NA,184.65,0.563604551581203,0.577873513349184,NA,NA
"3",1991,0.260569907347189,1017.04104262855,265.010290246009,3266.3996148153,1211.67765393119,964.445054930337,0.344167081871811,0.378564515405772,0.179881188543305,1.12218226247278,152.03,0.423645555414069,0.493625053497636,NA,0.592142475117164
"4",1992,0.195236158643354,1084.62460556069,211.757941559732,3613.56609753356,717.212455929488,581.137543699171,0.374948939109336,0.371333362812899,0.952077873074251,0.565979530808778,125.88,0.688815476641142,0.556230516027606,0.577873513349184,0.563604551581203
"5",1993,0.0681717460099968,1541.3218835554,105.074603965389,6471.58493094443,445.062631468853,355.676269556387,0.312578847456952,0.253824332101004,0.670951368201674,0.811514620637962,90.21,0.865198916548514,0.777007196594828,0.493625053497636,0.423645555414069
"6",1994,0.048868589526071,996.291452079251,48.6873580199942,4485.75497247346,266.289907643921,211.636691202694,0.265168195452009,0.276512058803013,0.889984518679634,0.780467943440654,41.94,0.692749340904715,0.778974128726614,0.556230516027606,0.688815476641142
"7",1995,0.0443048281361852,1389.87067170816,61.5779812415543,3253.21098081517,156.983474761467,193.151209456586,0.338810804717394,0.401109550631776,-0.651264712002491,0.119359903338571,44.54,0.78434049825809,0.738544919581403,0.777007196594828,0.865198916548514
"8",1996,0.0861528249019467,1473.00910139455,126.903895191418,1046.09672479289,229.318944151705,346.252359054389,0.270190896793288,0.139272242954799,-0.287167233870094,-0.469215972936293,77.47,0.578143658259153,0.681242078258622,0.778974128726614,0.692749340904715
"9",1997,0.307249958780854,639.120096884984,196.369623423926,388.222288577112,463.185773957072,487.96220014359,0.230771764638473,0.322271286322146,1.64859004962994,0.680711407879923,117.5,0.495661820500494,0.536902739379824,0.738544919581403,0.78434049825809
"10",1998,0.345696155852334,466.611527851596,161.305811454681,660.507578613576,512.738626330108,448.897130451256,0.327773926404058,0.333276566485969,0.977335737404086,1.31296289351701,107.65,0.613662731700749,0.554662276100622,0.681242078258622,0.578143658259153
"11",1999,0.273225582317415,156.288129216557,42.7019151144931,310.182750299382,385.055634572404,282.141520666298,0.352156319131656,0.371036071777344,1.7214582530546,1.34939699522934,19.23,0.274073027749314,0.443867879725031,0.536902739379824,0.495661820500494
"12",2000,0.0881370956776839,253.270715259849,22.3225452632128,1149.09977709117,179.227406760192,175.762650905828,0.335641358044683,0.300246644312022,-0.182473073490135,0.769492589782233,14.71,0.256134769805967,0.26510389877764,0.554662276100622,0.613662731700749
"13",2001,0.0596910238726962,576.473105096936,34.4102698783085,1161.07545700915,172.297895051465,182.631176772334,0.168417704056721,0.036588763801419,0.440692152506988,0.129109539508427,18.78,0.322715763215798,0.289425266510882,0.443867879725031,0.274073027749314
"14",2002,0.187766647340498,258.604248100153,48.5572526537761,370.367996059754,192.964458493203,179.922697658492,0.170185219900949,0.303781676000478,0.767338232306717,0.604015192406853,17.34,0.314834268753523,0.31877501598466,0.26510389877764,0.256134769805967
"15",2003,0.210846984000511,259.89149837719,54.7973386002041,1197.45623392902,166.880936823781,164.527203982778,0.22281280828982,0.141843940579161,1.33407382498277,1.05070602864474,13.26,0.297377031946156,0.30610565034984,0.289425266510882,0.322715763215798
"16",2004,0.15459476035444,347.701330746236,53.752803901634,1375.39085322682,162.173471141774,148.007595788768,0.171182509441765,0.200521078304369,1.45571934072036,1.39489658285156,14.87,0.315559927755202,0.306468479850679,0.31877501598466,0.314834268753523
"17",2005,0.0496641089092345,997.24739173686,49.5274030726694,2003.57817520875,133.841720435761,143.183433464562,0.166076155682,0.13163123305963,0.35549288521408,0.90560611296722,17.39,0.33396615279306,0.324763040274131,0.30610565034984,0.297377031946156
"18",2006,0.0681043083072248,363.455528632311,24.7528873779403,990.93007650916,152.525146493363,132.934557721032,0.21049479270468,0.289358352349729,1.19031294476152,0.7729029149878,20.66,0.203383282005128,0.268674717399094,0.306468479850679,0.315559927755202
"19",2007,0.177145198905805,650.605336126917,115.251611677381,1298.14753151258,113.343968948701,195.858134267537,0.288254575145488,0.287150797941247,-0.708533379543129,0.240889782609195,34.36,0.322175274936283,0.262779278470705,0.324763040274131,0.33396615279306
"20",2008,NA,0,0,480.804055022104,278.372299586374,260.106172765052,0.356881938077966,0.426613078214684,-0.410643153904515,-0.559588266723822,31.67,0.365995194190607,0.344085234563445,0.268674717399094,0.203383282005128
