"","replicate_id","time_step","exploitation","prop_tm_above101","cohort_abund_101","lg_abund_ge95","lg_abund_avg2","prop_new_mature_ge101_gam","prop_new_mature_ge101_ogive","prop_new_mature_ge101_sim","prop_mature_ge101_stock","ogive_year_star"
"5",1,5,0,0.300467280438191,3738.22020258291,1172.11910000115,840.699839482583,92.8788663815248,0.396846292148506,0.16097568096828,0.300467280438191,1990
"6",1,6,0,0.390420529259316,5921.56582957028,2052.87115446437,1612.49512723276,96.1629067222201,0.434743217057773,0.167893738161122,0.390420529259316,1990
"7",1,7,0,0.454124910941563,5915.8761990549,2923.40861067568,2488.13988257002,107.824444144399,0.470141353809938,0.194856261269062,0.454124910941563,1990
"8",1,8,0,0.44319745352648,5195.12398335488,3599.10144700475,3261.25502884021,120.408148676935,0.440451602020281,0.160302982961887,0.44319745352648,1990
"9",1,9,0,0.448281197267412,3217.01382230934,4481.23053088744,4040.16598894609,137.087702826189,0.493621227518649,0.18972046774933,0.448281197267412,1998
"10",1,10,0,0.515132725302607,1817.51987852921,5627.98307248276,5054.6068016851,155.049691081775,0.583729340607897,0.274902591295918,0.515132725302607,1998
"11",1,11,0,0.644542499347236,1146.33430857343,7026.36568575202,6327.17437911739,174.116134177747,0.695842666674642,0.393537678513245,0.644542499347236,1990
"12",1,12,0,0.767935604145142,683.687663993845,7910.75186271028,7468.55877423115,190.771714165298,0.806403734313033,0.46406007346079,0.767935604145142,1998
"13",1,13,0,0.835973312712768,896.963928355302,7644.21939328989,7777.48562800009,194.197804335815,0.859972526368248,0.448214727833412,0.835973312712768,1998
"14",1,14,0,0.854460847331903,895.065887280974,6424.26095260225,7034.24017294607,184.321017681809,0.875560660770983,0.329679621705715,0.854460847331903,1998
"15",1,15,0,0.804200199014313,695.122250146459,4675.15362824644,5549.70729042434,165.220409334606,0.844591552509289,0.197607726704914,0.804200199014313,1998
"16",1,16,0,0.740868420012634,1145.70703397422,3345.14801336484,4010.15082080564,143.308931268493,0.805278826473124,0.208340344307009,0.740868420012634,1998
"17",1,17,0,0.717260553474582,1444.00543931413,2555.21672699809,2950.18237018146,128.26122206371,0.774486123776324,0.253954951704256,0.717260553474582,1998
"18",1,18,0,0.621496489309718,1817.26602481794,2078.29848877697,2316.75760788753,118.645622377659,0.657004534058022,0.131325258133084,0.621496489309718,1998
"19",1,19,0,0.527450859451458,1469.33582921343,1825.80895314252,1952.05372095974,114.908253712993,0.58791315709219,0.115536549027535,0.527450859451458,1998
"20",1,20,0,0.46667905319558,1564.76563915964,1776.7585930148,1801.28377307866,112.598468313248,0.534606860401468,0.13527381176777,0.46667905319558,1998
"21",1,21,0,0.540652720257583,1058.39918753603,2084.4001975467,1930.57939528075,115.936152827573,0.610315117756225,0.243947526371765,0.540652720257583,1998
"22",1,22,0,0.613546966695789,1045.37844960371,2392.24234846093,2238.32127300381,120.069779827559,0.646999832183131,0.260310281939604,0.613546966695789,1990
"23",1,23,0,0.629375491570387,2839.99045780985,2623.78921582282,2508.01578214187,117.919916606799,0.658495069293026,0.224172684382349,0.629375491570387,1998
"24",1,24,0,0.601173357886141,2600.47070232811,2591.40595568775,2607.59758575528,120.009600973526,0.634669171408113,0.184704659312869,0.601173357886141,1998
"25",1,25,0,0.534935603453882,2009.6910769525,2448.92302709166,2520.16449138971,120.735269996741,0.58195223063499,0.131061347204357,0.534935603453882,1998
"26",1,26,0,0.478579620532307,1594.29195621522,2411.67900630167,2430.30101669667,120.868069140298,0.543342524352072,0.133960836430336,0.478579620532307,1998
"27",1,27,0,0.522486709311237,1592.24323431103,2733.00694446808,2572.34297538488,122.76333361745,0.600815994819775,0.230633523166814,0.522486709311237,1998
"28",1,28,0,0.591778866534338,1551.28628111138,3181.83931342682,2957.42312894745,128.014609261265,0.649103729328241,0.265200791065206,0.591778866534338,1998
"29",1,29,0,0.659557463417717,2566.44653067268,3631.42303891802,3406.63117617242,130.74301136585,0.697951192544469,0.26375149740904,0.659557463417717,1998
"30",1,30,0,0.67216686168185,4644.74026777642,3730.98322516365,3681.20313204084,127.751295866996,0.690277471009543,0.198704753277186,0.67216686168185,1998
"31",1,31,0,0.523506731131007,7648.28375635067,3322.26369598221,3526.62346057293,116.095903325579,0.531958027912291,0.0760938405980974,0.523506731131007,1998
"32",1,32,0,0.391833533384828,4584.73066253854,2908.05099808238,3115.1573470323,120.416450681228,0.455666190177823,0.0676716099441647,0.391833533384828,1998
"33",1,33,0,0.344768556444365,2652.13984359872,2986.18123555953,2947.11611682095,124.358996036944,0.421282034862125,0.111616415761189,0.344768556444365,1998
"34",1,34,0,0.475061265961361,1704.31134185905,4668.86231306187,3827.5217743107,139.09511477423,0.565534321193145,0.288946434239084,0.475061265961361,1998
"35",1,35,0,0.658814550371571,1140.3030025885,6372.71939471419,5520.79085388803,163.413018331407,0.74217251618349,0.431905799062152,0.658814550371571,1990
"36",1,36,0,0.767973338035081,2387.76113287588,7428.78484212872,6900.75211842145,177.77507034873,0.783547800971185,0.430360735039005,0.767973338035081,1990
"37",1,37,0,0.797618062599125,2915.50290604291,7296.40963343072,7362.59723777972,182.229399280871,0.808472384364219,0.294357609983882,0.797618062599125,1998
"38",1,38,0,0.728233422134333,3022.33852324497,5983.86058640765,6640.13510991919,172.28143035769,0.75039449188139,0.183754431805979,0.728233422134333,1998
"39",1,39,0,0.598474615557671,2562.77476232785,4530.58614778138,5257.22336709452,155.36186825902,0.668276377951292,0.119636679874549,0.598474615557671,1998
"40",1,40,0,0.534435714877821,2924.8288415811,3952.96433434293,4241.77524106216,140.70236422918,0.619692169187145,0.174805980692348,0.534435714877821,1998
"41",1,41,0,0.53307514370656,3783.02487305554,4017.25762709574,3985.11098071934,134.546550771982,0.592096767199401,0.194543807176838,0.53307514370656,1998
"42",1,42,0,0.541037865176264,5932.1697330111,4549.11743651089,4283.18753180332,131.640918015116,0.581355969221016,0.175041869878148,0.541037865176264,1998
"43",1,43,0,0.559993108036999,5915.34115809955,5054.47619524669,4801.79681587879,138.590596418317,0.596049352769902,0.174430943621432,0.559993108036999,1998
"44",1,44,0,0.49795674543391,5195.12398335488,5101.53057983153,5078.00338753911,144.565252097346,0.531646928907806,0.112250881893807,0.49795674543391,1998
"45",1,45,0,0.484305579399212,3217.01382230934,5392.36370189982,5246.94714086568,153.134139281264,0.555534041035182,0.159243768063407,0.484305579399212,1998
"46",1,46,0,0.530321293451853,1817.51987852921,6074.57020529752,5733.46695359867,164.076419973121,0.608350231316912,0.240279044815237,0.530321293451853,1998
"47",1,47,0,0.639089153085723,1146.33430857343,7241.93351196864,6658.25185863308,178.518435065779,0.704091469698876,0.34702421677693,0.639089153085723,1998
"48",1,48,0,0.764902141305133,683.687663993845,8014.22868629094,7628.08109912979,192.89286500162,0.80923339054344,0.440640275561582,0.764902141305133,1998
"49",1,49,0,0.834231137768759,896.963928355302,7693.25733465315,7853.74301047204,195.211790376383,0.861045677059637,0.406169705503236,0.834231137768759,1998
"50",1,50,0,0.854649527767542,895.065887280974,6447.52756402143,7070.39244933729,184.801730530941,0.876071134155915,0.310196041457245,0.854649527767542,1998
"51",1,5,0.2,0.284958175961406,3738.22020258291,1098.28181583186,803.781197397941,92.3879632520113,0.37872992087072,0.159092101300338,0.284958175961406,1990
"61",1,6,0.2,0.355920561485147,5921.56582957028,1800.95095225377,1449.61638404282,93.9971259604618,0.410947648643345,0.163769912537872,0.355920561485147,1990
"71",1,7,0.2,0.408402252196072,5915.8761990549,2451.88707862837,2126.41901544107,103.014681496361,0.446027189632595,0.190675470937606,0.408402252196072,1990
