"","sm_term","mat_term","male_term","ice_term","tocc_term","k_terms","AIC","cv_rmse","R2","edf_total","dAIC","dRMSE","rmse_sd","keep_RMSE"
"1",NA,"FEM_MAT_ABUND_lag2",NA,NA,NA,1,-35.5709114950548,48.2788664461836,0.128360268094586,2.00000000874816,9.12887187286177,0.0245215704997435,0.0534054277318919,TRUE
"2",NA,NA,NA,NA,"FEM_TOCC_lag2",1,-38.1233978175282,48.3287360631079,0.0454284548709062,2.48564239891147,6.57638555038835,0.0743911874240624,0.0534054277318919,TRUE
"3",NA,NA,NA,NA,"FEM_TOCC",1,-39.8020294893623,48.3346776526123,-0.0389790025306718,2.00000002262541,4.8977538785543,0.0803327769284436,0.0534054277318919,TRUE
"4",NA,"FEM_MAT_ABUND",NA,NA,NA,1,-44.6997833679166,48.3420442851532,0.083935226810674,1.99999996241991,0,0.0876994094693515,0.0534054277318919,TRUE
"5","FEM_INST1_ABUND",NA,NA,NA,NA,1,-39.9946992368036,48.3424300272888,-0.0350000727426096,2.00000001989003,4.70508413111298,0.0880851516048935,0.0534054277318919,TRUE
"6",NA,NA,NA,"ICE",NA,1,-40.1443407596975,48.3425135094004,-0.00257456761393549,2.2379740081018,4.5554426082191,0.0881686337165206,0.0534054277318919,TRUE
"7",NA,"FEM_MAT_ABUND",NA,"ICE",NA,2,-34.8968664263532,48.3540392348437,0.103851899354091,3.5472947902249,9.80291694156338,0.0996943591598694,0.0534054277318919,TRUE
