"","YEAR","PMAT_5565","MATURE","IMMATURE","TOT_CRAB","SAM","MALE_LG_ABUND","FEM_MAT_ABUND","FEM_COHORT_ABUND","ICE","FEM_TOCC"
"1",1989,0.894735081442374,93361.8784717167,10983.9557401384,104345.834211855,49.6657092819834,517.090493057877,10873.8361557107,558.471722946538,0.143299242914939,2.46547295752452
"2",1990,0.806912981765941,68107.0791250198,16297.41140129,84404.4905263098,62.6386562406599,1188.05452408049,7054.94275894759,1244.1043598532,0.309769648337851,0.957634732136689
"3",1991,0.81294779403081,81754.1182254556,18810.9104587322,100565.028684188,63.0807608130773,711.425793814596,8306.20990090835,1823.12033971547,0.378564515405772,1.2010890383702
"4",1992,0.864107712499167,57171.5924071795,8990.9838321046,66162.5762392841,50.4426267163966,447.942384490976,4877.7694034196,2887.29037392572,0.371333362812899,0.40385412183015
"5",1993,0.901118428969488,43633.1029624632,4787.94976460365,48421.0527270669,49.1282437725468,265.871589249984,5665.40432553524,4797.03879112074,0.253824332101004,1.22071077238449
"6",1994,0.918663917201817,70778.1669440161,6266.51241990323,77044.6793639194,47.8155876773821,156.405334858406,5214.23546723358,5096.59078793906,0.276512058803013,-0.869280628108089
"7",1995,0.971865407035244,70635.6579053653,2044.83611576181,72680.4940211271,45.7002204343154,224.377325262057,7314.85781134419,1826.29663872687,0.401109550631776,0.122676041695143
"8",1996,0.967621147535231,39149.0262736795,1310.01740617566,40459.0436798552,42.4055310587853,450.987824738596,4990.13368962186,408.824014735824,0.139272242954799,2.45550272099297
"9",1997,0.979928124285414,43336.3854431867,887.659534386119,44224.0449775728,47.8705745243554,508.896554003252,4721.12543412241,117.212102928358,0.322271286322146,1.73599437659037
"10",1998,0.878432050170564,31291.6375909179,4330.5116519769,35622.1492428948,57.7753037561493,381.844803642536,3267.66390241963,201.065208822091,0.333276566485969,1.86913512381523
"11",1999,0.88066815405388,15648.162948614,2120.34937533297,17768.5123239469,49.1932388686909,178.022689108057,1290.66662301709,166.217871339225,0.371036071777344,0.0597507665618373
"12",2000,0.937669149641523,36975.8539648881,2457.94203770429,39433.7960025924,48.9481839662061,171.541272931135,3851.31619126413,471.328382095299,0.300246644312022,0.341193032287152
"13",2001,0.856559089016763,52754.4133454298,8834.34803936405,61588.7613847939,49.5447761005209,190.930473256344,2895.05652062787,623.567406916438,0.036588763801419,1.06716558668345
