"","YEAR","IND_PREF","ALL_MAT","PROP_INDPREF","SAM","LG_ABUND","COHORT_ABUND","ICE","TOCC"
"1",1989,111.245385824467,727.411455291085,0.15293323333759,97.0606825609146,278.359304993874,1141.9582514316,0.143299242914939,2.07964175872172
"2",1990,241.601562433462,658.233656726482,0.367045288499819,100.385254727979,637.019411135712,782.301227726073,0.309769648337851,0.184267454317164
"3",1991,176.532316392836,510.77977045634,0.345613367254382,100.557360482506,401.085994511087,1473.64141686578,0.378564515405772,0.975606778510783
"4",1992,138.006835815404,520.457772728058,0.265164328494934,91.1080058381671,261.191864631541,1533.88281558578,0.371333362812899,0.63159505800564
"5",1993,66.6162471651045,723.850798883531,0.0920303566257764,70.3840662686018,150.749290075954,2878.81436284667,0.253824332101004,0.87279313698121
"6",1994,30.991166072422,467.711815740708,0.066261242563098,94.8202156987055,88.8088090017088,2023.37898459239,0.276512058803013,-0.641312258744424
"7",1995,37.2374918950311,637.569236561176,0.0584054087927407,95.8572835497932,119.835934328763,1564.36830229699,0.401109550631776,-0.305263194781749
"8",1996,74.247992960635,650.781503880413,0.114090508900325,99.0862428237685,235.62952923553,512.610909983345,0.139272242954799,1.62999889761887
"9",1997,126.594260782977,308.823750121436,0.409923980047511,100.630764531585,284.035576135522,187.768968654504,0.322271286322146,0.961255620061562
"10",1998,99.653057146018,229.755310457506,0.433735598744513,95.8979644825173,210.54285255322,305.287444026746,0.333276566485969,1.74466938335189
"11",1999,27.8465779405268,79.3008529932597,0.351151051841695,91.5470063995092,99.6029938060018,146.719625826554,0.371036071777344,-0.177175212639616
"12",2000,14.4576272264044,122.80432934209,0.117728970174418,90.4413367281726,95.8359350821172,529.472383618615,0.300246644312022,0.460785779250258
"13",2001,20.2188209592578,257.011637820528,0.078668892703515,94.281358656329,104.430797642809,528.701235794855,0.036588763801419,0.812202387372629
"14",2002,28.7282124040434,116.769003941176,0.246026012335565,95.0616900797902,88.4361418084273,172.391148746761,0.303781676000478,1.35018692730839
"15",2003,34.3249219992372,124.838171842829,0.274955340121867,98.3404121342544,87.9738913694054,539.906488788032,0.141843940579161,1.46047352389728
"16",2004,35.7260249097475,168.498650549274,0.212025584734877,92.6797138328424,77.3076089718981,614.166672598395,0.200521078304369,0.320479363167878
"17",2005,33.1618614707233,456.82599004679,0.0725918888006498,84.3261216592484,88.7201668436873,921.536812801572,0.13163123305963,1.1731395541135
"18",2006,15.014431243088,162.436175554046,0.0924328044037973,93.0316203351604,64.8750838421842,428.129546206906,0.289358352349729,-0.68201487191263
"19",2007,69.1451966902206,309.643231754373,0.223306016729184,95.113697200435,151.001499550975,620.810576352516,0.287150797941247,-0.430723392469233
"20",2008,0,0,NA,NA,133.926610932813,233.308302191635,0.426613078214684,-0.448144404839172
"21",2009,56.4579837734069,206.629320560256,0.273233167588832,97.8938582650882,159.214115892259,391.369384715957,0.407735421316964,-0.39216114484154
"22",2010,97.0222237946714,366.586568376691,0.264663880687999,89.9063608946801,169.821581869356,1582.59354816313,0.420978997678173,0.0276929102188273
"23",2011,78.4099314334678,488.00438119778,0.160674646487835,88.7518258385075,178.762052390777,887.880480259078,0.253940585389429,1.02594513780119
"24",2012,0,0,NA,NA,103.473717030945,479.742934931295,0.536317593321508,-0.275101234873021
"25",2013,43.1959967758722,227.150508661816,0.190164649114579,93.741372276883,110.023923803551,434.613099316797,0.398448131327726,-0.103101050891623
"26",2014,0,0,NA,NA,200.118746309413,654.898352009093,0.137532890475526,1.8225935897059
"27",2015,31.2005542263324,156.991399344037,0.198740532008115,92.6429516924348,82.4973044390698,535.083451002239,0.141542539012675,0.223180597441635
"28",2016,0,0,NA,NA,57.7800482950003,1175.31792243712,0.0799238243881537,0.799710849500407
"29",2017,23.8864730784228,413.051843262726,0.0578292373415934,84.0514845911425,57.9553319146839,2264.54797593197,0.171617356903699,0.0240158304977658
"30",2018,36.6541569528756,1475.0101884693,0.0248501042497297,71.4175260904935,98.8136513331375,3698.19414458866,0.0123427410514987,3.26309084665318
"31",2019,45.7794791441244,608.119932832542,0.0752803463140726,86.9207283526579,119.656802970978,439.351440976272,0.017243614975287,2.53517555608276
"32",2021,17.3466539232241,87.4585758074216,0.19834137205047,88.1806685402375,54.1366100467348,9.20442389247333,0.104082815987723,2.34367889730893
"33",2022,14.3214640048343,63.7884566741684,0.224514978908933,89.9996099442035,39.8131538452076,320.299069387772,0.280262824856505,-0.555652919590458
"34",2023,12.6437290579593,77.044277372409,0.164109905228175,92.4028486235525,30.3004324482822,318.430034789105,0.169087362484056,-0.282912044031235
"35",2024,14.5384860587449,307.51509518694,0.0472773086144175,94.1912692224542,44.9715568283836,1319.43440491933,0.178222052126515,0.449870379685008
"36",2025,21.2138060527012,641.346180301527,0.0330769975783244,77.0949001596041,66.0384818942072,1335.05391149044,0.101361881178253,0.675424984265173
"37",2020,NA,NA,NA,NA,NA,NA,NA,NA
