"","YEAR","IND_PREF","ALL_MAT","PROP_INDPREF","SAM","LG_ABUND","COHORT_ABUND","ICE","TOCC"
"1",1989,185.343313600007,1650.31311065343,0.112307968956644,97.0606825609146,517.090493057877,2731.21611942732,0.143299242914939,2.05717635414106
"2",1990,403.190977354809,1365.29493235905,0.29531419753983,100.385254727979,1188.05452408049,1846.41214300151,0.309769648337851,0.12513707476649
"3",1991,275.288114252242,1062.55428404643,0.25908145907039,100.557360482506,711.425793814596,3535.60886365857,0.378564515405772,0.923028788388163
"4",1992,219.826340424051,1130.53268961077,0.194444921800301,91.1080058381671,447.942384490976,3737.30956370359,0.371333362812899,0.63542717933098
"5",1993,108.449181612365,1669.44170908092,0.0649613466720377,70.3840662686018,265.871589249984,6928.38137708209,0.253824332101004,0.865062862898461
"6",1994,50.1800355399972,1090.48857424163,0.0460161039054391,94.8202156987055,156.405334858406,4853.30322565594,0.276512058803013,-0.651693170341224
"7",1995,63.0119603376391,1493.60974445685,0.0421877003490985,95.8572835497932,224.377325262057,3685.85239643346,0.401109550631776,-0.313147441905692
"8",1996,129.555622766419,1497.83168576139,0.0864954480520037,99.0862428237685,450.987824738596,1204.35777020447,0.139272242954799,1.61151371145232
"9",1997,203.165981331649,631.855519867885,0.321538666583351,100.630764531585,508.896554003252,442.207545813839,0.322271286322146,0.916518068194199
"10",1998,166.289055182028,467.838173580185,0.355441399553786,95.8979644825173,381.844803642536,726.060884492969,0.333276566485969,1.69721835588844
"11",1999,44.2579824073348,164.891021151886,0.268407473603838,91.5470063995092,178.022689108057,347.409027251203,0.371036071777344,-0.24488042705085
"12",2000,23.0939834301326,278.86297696943,0.08281480632929,90.4413367281726,171.541272931135,1262.74473871973,0.300246644312022,0.420899362150409
"13",2001,35.0651974512292,602.650635488326,0.0581849505938312,94.281358656329,190.930473256344,1268.83439847294,0.036588763801419,0.77559023148089
"14",2002,49.5622613537201,256.149295785569,0.193489742775675,95.0616900797902,164.214897377712,410.063245314275,0.303781676000478,1.32386705161249
"15",2003,56.6513197591912,269.729222648738,0.210030337843545,98.3404121342544,160.516439049855,1292.33755142939,0.141843940579161,1.42201728355517
"16",2004,55.8061091783761,373.304836566789,0.14949206040729,92.6797138328424,134.045258056204,1477.19013094733,0.200521078304369,0.30070119627332
"17",2005,51.0386932276919,1060.34935026368,0.0481338468449099,84.3261216592484,152.352782438734,2199.18468666346,0.13163123305963,1.14816099441784
"18",2006,25.3602818429452,377.735574450234,0.0671376580822583,93.0316203351604,113.018264429181,1041.4177315423,0.289358352349729,-0.719414246357837
"19",2007,118.496689758816,683.556248478557,0.173353239067835,95.113697200435,276.266532885037,1464.38718828618,0.287150797941247,-0.44815362646613
"20",2008,0,0,NA,NA,240.856400939371,549.525398843609,0.426613078214684,-0.49437691985509
"21",2009,90.629499726622,444.999989052624,0.203661802148729,97.8938582650882,287.472800508468,939.939258501083,0.407735421316964,-0.452131264500866
"22",2010,152.219164654107,783.754283690038,0.194217968337519,89.9063608946801,290.756514347338,3804.63846297905,0.420978997678173,-0.0110832971400468
"23",2011,122.853106277663,1091.05018840963,0.112600783706147,88.7518258385075,302.379803835229,2111.23295299838,0.253940585389429,0.979679233978627
"24",2012,0,0,NA,NA,179.673775669248,1150.89315154778,0.536317593321508,-0.310030424238054
"25",2013,71.8224804744119,508.780642443483,0.141165906252792,93.741372276883,197.642062742253,1035.20545036688,0.398448131327726,-0.146589991112254
"26",2014,0,0,NA,NA,359.151148159361,1560.57803964018,0.137532890475526,1.78776065318557
"27",2015,47.6858795641078,346.864330926651,0.137477034426441,92.6429516924348,144.160670307508,1306.40151954997,0.141542539012675,0.144553831004952
"28",2016,0,0,NA,NA,104.172530946994,2875.99502924696,0.0799238243881537,0.737514643018681
"29",2017,40.2860143889072,966.017680390695,0.0417031853626261,84.0514845911425,105.356143005562,5532.05734303458,0.171617356903699,-0.00303015117779406
"30",2018,64.6887028025705,3467.75473363135,0.0186543477758677,71.4175260904935,187.853576027895,8760.23328906856,0.0123427410514987,3.25958292047227
"31",2019,80.8061437912745,1420.77136448047,0.0568748398309836,86.9207283526579,230.805461554359,1021.53013840843,0.017243614975287,2.52829430638516
"32",2021,31.0599530907844,193.756140491497,0.160304354803906,88.1806685402375,105.00970366096,21.7627956591652,0.104082815987723,2.34666926114179
"33",2022,24.4084792637348,141.724541121585,0.172224789514717,89.9996099442035,74.3805918623521,778.801158952139,0.280262824856505,-0.586241191469518
"34",2023,20.6530781778425,172.71699702891,0.119577566383843,92.4028486235525,54.7251603468838,768.543695559502,0.169087362484056,-0.314870831749244
"35",2024,23.4581973034379,717.969391267434,0.0326729768549423,94.1912692224542,80.886526257035,3161.78601116816,0.178222052126515,0.441934667983139
"36",2025,36.4617585617857,1512.97227658026,0.0240994227892923,77.0949001596041,122.340167686531,3180.48015464881,0.101361881178253,0.664320171915466
"37",2020,NA,NA,NA,NA,NA,NA,NA,NA
