"","YEAR","STATION_ID","LATITUDE","LONGITUDE","SAM_WTD","SAM_UNWTD"
"1",1989,"A-05",6113.24685092994,874.063790497256,NA,NA
"2",1989,"B-05",6152.55740631411,866.167977064256,NA,NA
"3",1989,"B-06",6148.86379869703,904.274062301123,NA,NA
"4",1989,"C-06",6190.05137699536,904.414032672006,NA,NA
"5",1989,"D-02",6213.12291874415,750.64054101278,NA,NA
"6",1989,"D-04",6224.77588625344,821.384269652188,NA,NA
"7",1989,"D-05",6219.27054497838,862.004317308933,NA,NA
"8",1989,"D-06",6225.18794755162,899.977687827079,NA,NA
"9",1989,"D-18",6209.80798815244,673.342066308613,NA,NA
"10",1989,"E-02",6249.14377699527,744.905923734826,NA,NA
"11",1989,"E-03",6254.39766960526,783.864744592124,NA,NA
"12",1989,"E-05",6256.91496548028,858.45265647399,NA,NA
"13",1989,"E-06",6261.86188635929,895.10874265817,NA,NA
"14",1989,"E-18",6246.47129164748,669.939297409848,NA,NA
"15",1989,"E-21",6246.36569421769,557.210634490633,NA,NA
"16",1989,"F-01",6285.41980886352,704.532378066341,NA,NA
"17",1989,"F-02",6287.44109058185,742.643327331048,NA,NA
"18",1989,"F-04",6293.61217442893,816.225136335964,67.4691687080289,67.4691687080289
"19",1989,"F-05",6292.05975491635,853.452544927522,NA,NA
"20",1989,"F-18",6282.72689975405,666.278071994541,58.2144762877942,58.2144762877942
"21",1989,"F-20",6282.79015260011,591.923647032493,NA,NA
"22",1989,"F-22",6278.76515594454,516.508379462357,NA,NA
"23",1989,"F-24",6278.86908511514,439.614470905506,NA,NA
"24",1989,"G-01",6324.05668692569,699.417334216209,NA,NA
"25",1989,"G-02",6324.37513634901,736.382848326775,56.2849623996469,56.2849623996469
"26",1989,"G-03",6327.51260400478,775.263702804226,NA,NA
"27",1989,"G-04",6330.37881867481,811.598821362761,92.8550982119123,92.8550982119123
"28",1989,"G-06",6335.69660212838,888.372203134294,94.9042291654762,94.9042291654762
"29",1989,"G-07",6343.07345125856,924.464669882271,NA,NA
"30",1989,"G-18",6321.67818194023,661.419876309301,NA,NA
"31",1989,"G-19",6318.69265995796,622.806584270902,65.1068536347647,65.1068536347647
"32",1989,"G-20",6318.14659313214,587.744898803916,71.8552250717961,71.8552250717961
"33",1989,"G-22",6312.47265120776,513.31441659113,NA,NA
"34",1989,"G-23",6317.34008024428,476.687447945272,NA,NA
"35",1989,"G-24",6318.7253484057,438.330103180366,57.6488124116046,57.6488124116046
"36",1989,"GF1918",6299.71977922977,645.327012450812,62.2677588666951,62.2677588666951
"37",1989,"GF2019",6299.66881708252,607.100929326063,NA,NA
"38",1989,"GF2120",6299.16665191039,567.534737892104,NA,NA
"39",1989,"GF2221",6300.93793553036,533.915658771262,NA,NA
"40",1989,"H-02",6360.7339399587,732.046168028903,77.0825737911265,77.0825737911265
"41",1989,"H-03",6371.384869061,770.872170358059,101.221545361265,101.221545361265
"42",1989,"H-04",6365.41927657246,809.397017189178,101.876436687096,101.876436687096
"43",1989,"H-05",6366.69444314116,845.972911011007,100.80299277504,100.80299277504
"44",1989,"H-06",6371.84822356383,885.576793582396,99.5169396794544,99.5169396794544
"45",1989,"H-18",6359.15382988895,657.231598139133,89.62750384679,89.62750384679
"46",1989,"H-19",6355.48325610833,619.822702033847,75.020895779124,75.020895779124
"47",1989,"H-20",6356.6659367967,581.926808885322,90.4693233772558,90.4693233772558
"48",1989,"H-24",6355.52545488833,432.797056575645,NA,NA
"49",1989,"H-26",6367.24086265621,357.19612030463,NA,NA
"50",1989,"HG1918",6339.60258372444,643.129336774042,60.7259973156857,60.7259973156857
"51",1989,"HG2019",6333.59541324106,602.969157936934,NA,NA
"52",1989,"HG2120",6333.95798427441,568.61013565705,71.4446059957031,71.4446059957031
"53",1989,"I-01",6399.51165128738,693.705693444985,96.3006708294709,96.3006708294709
"54",1989,"I-02",6397.72958106405,729.240970485658,101.666532035993,101.666532035993
"55",1989,"I-03",6402.7983182036,768.168641264035,105.106190589098,105.106190589098
"56",1989,"I-04",6403.3310145788,805.252664009683,103.813016173301,103.813016173301
"57",1989,"I-05",6405.42896782378,842.715400152622,NA,NA
"58",1989,"I-06",6410.24401338667,880.638782037827,100.631121933734,100.631121933734
"59",1989,"I-18",6395.42955250336,655.108795760541,97.8175434627632,97.8175434627632
"60",1989,"I-19",6392.71088235006,614.84616665989,96.5978041267765,96.5978041267765
"61",1989,"I-20",6394.38691354724,578.138948163602,94.5323027234463,94.5323027234463
"62",1989,"I-21",6391.71258319781,544.281658322196,92.5477482809824,92.5477482809824
"63",1989,"I-22",6390.78806134317,505.80763301527,77.320503084669,77.320503084669
"64",1989,"I-24",6392.43971911723,430.435737256941,59.111560113282,59.111560113282
"65",1989,"IH1918",6375.86352568566,635.654779104367,92.8748948047824,92.8748948047824
"66",1989,"IH2019",6374.33859248446,597.284336509427,89.8769037946936,89.8769037946936
"67",1989,"IH2120",6374.58320699243,560.652591730753,92.2502498142223,92.2502498142223
"68",1989,"IH2221",6375.20620712852,527.274624864902,91.3628248021955,91.3628248021955
"69",1989,"J-01",6433.53458850267,690.865990298227,102.662247893741,102.662247893741
"70",1989,"J-02",6434.92850034431,727.20965164441,106.33453465719,106.33453465719
"71",1989,"J-03",6439.62462970172,764.553970880378,NA,NA
"72",1989,"J-04",6439.58441257975,800.465209419686,104.641937297409,104.641937297409
"73",1989,"J-05",6441.41133226748,839.758611425469,NA,NA
"74",1989,"J-18",6432.28162819481,651.502414771525,101.87203521104,101.87203521104
"75",1989,"J-19",6423.5047151873,613.649560276172,100.625589980387,100.625589980387
"76",1989,"J-20",6429.92891243273,576.667284654031,98.3448069616895,98.3448069616895
"77",1989,"J-21",6430.9919664738,539.380029164726,95.2275181400804,95.2275181400804
"78",1989,"J-22",6427.9312526034,501.842497931629,92.2470664250257,92.2470664250257
"79",1989,"J-23",6429.34382707362,464.199131260766,83.7613390669757,83.7613390669757
"80",1989,"J-24",6431.00879455027,429.164986201071,NA,NA
"81",1989,"J-26",6431.18046589514,353.120544404041,NA,NA
"82",1989,"JI1918",6411.37852163608,635.434380712627,99.5263615069695,99.5263615069695
"83",1989,"JI2019",6411.07850139197,599.033503418736,99.9381549805775,99.9381549805775
"84",1989,"JI2120",6409.09966006539,559.39456402906,91.7927561735521,91.7927561735521
"85",1989,"JI2221",6411.60584196202,523.478055041958,92.9696788585499,92.9696788585499
"86",1989,"K-01",6470.2258818521,685.490078313342,104.418365420083,104.418365420083
"87",1989,"K-02",6473.61879993581,724.555064778732,NA,NA
"88",1989,"K-03",6476.62660113973,759.932954634774,NA,NA
"89",1989,"K-04",6476.77555371454,797.47696888128,NA,NA
"90",1989,"K-18",6469.09569286252,647.547597732387,103.271197391683,103.271197391683
"91",1989,"K-19",6467.74059333885,610.774267560554,98.3187720759731,98.3187720759731
"92",1989,"K-20",6470.82032225266,574.832184391808,94.8941374189103,94.8941374189103
"93",1989,"K-21",6471.22384416259,536.418815697345,95.5314018892976,95.5314018892976
"94",1989,"K-22",6465.3677533771,498.686957841147,94.6427034936595,94.6427034936595
"95",1989,"K-23",6462.54094368601,462.352898918853,87.6558363793099,87.6558363793099
"96",1989,"K-24",6468.14203003031,426.434250277446,66.7438866045931,66.7438866045931
"97",1989,"K-25",6466.96847703622,387.968786851708,NA,NA
"98",1989,"K-26",6468.49860594819,349.572364856461,NA,NA
"99",1989,"L-01",6507.52055138232,680.815501683867,100.285431817313,100.285431817313
"100",1989,"L-02",6509.1284507906,719.917854722117,NA,NA
"101",1989,"L-04",6514.3741940729,793.213311233481,NA,NA
"102",1989,"L-18",6505.51305584873,645.111562436014,NA,NA
"103",1989,"L-19",6504.78263058719,606.442523025411,94.3606408577197,94.3606408577197
"104",1989,"L-20",6502.55728196848,571.17100495926,91.2222923067183,91.2222923067183
"105",1989,"L-21",6503.80351558641,532.332355186814,95.1152481727852,95.1152481727852
"106",1989,"L-22",6500.90669141626,495.337896749858,75.1236021732276,75.1236021732276
"107",1989,"L-23",6503.54184963227,459.89299317377,88.4695018030412,88.4695018030412
"108",1989,"L-24",6503.64059702258,420.778844017087,71.2210146293682,71.2210146293682
"109",1989,"L-25",6504.75918066607,384.295524701346,79.9901985918213,79.9901985918213
"110",1989,"M-18",6543.41710652596,642.386048472061,NA,NA
"111",1989,"M-19",6542.38385024917,605.521541256763,NA,NA
"112",1989,"M-20",6540.33998314953,566.470579647264,82.6335302283306,82.6335302283306
"113",1989,"M-21",6544.69030722388,529.069975673062,92.9363191116562,92.9363191116562
"114",1989,"M-22",6540.45786173834,492.852529361211,91.4687661843217,91.4687661843217
"115",1989,"M-23",6539.4812975564,456.523792485513,93.6110847545339,93.6110847545339
"116",1989,"M-24",6541.00164756637,416.2970303194,91.0310602437837,91.0310602437837
"117",1989,"M-25",6546.00976563915,380.399643906202,NA,NA
"118",1989,"M-26",6543.04259621117,344.080295609442,90.6905652901839,90.6905652901839
"119",1989,"M-27",6546.73521719347,306.831076262016,82.0410185918914,82.0410185918914
"120",1989,"M-32",6559.40489169254,121.825312067193,NA,NA
"121",1989,"N-18",6579.96572135737,638.360481515678,NA,NA
"122",1989,"N-19",6579.57978500858,600.864450065346,NA,NA
"123",1989,"N-20",6579.55080129803,564.15501269872,82.2986769772846,82.2986769772846
"124",1989,"N-21",6580.36697209108,525.875996570331,73.3689366507768,73.3689366507768
"125",1989,"N-22",6576.88610346436,489.919229633823,88.9533428423207,88.9533428423207
"126",1989,"N-23",6577.58688458121,452.6315180388,92.5005601322277,92.5005601322277
"127",1989,"N-24",6577.82520050964,415.056716594114,94.1558481862374,94.1558481862374
"128",1989,"N-25",6581.71304204668,376.361998813253,95.7730044395452,95.7730044395452
"129",1989,"N-26",6580.72063166551,340.995710854191,93.9402980870833,93.9402980870833
"130",1989,"N-27",6582.98624789178,308.704140663463,84.863673678986,84.863673678986
"131",1989,"N-28",6585.0126606241,262.760504774805,56.1050383873065,56.1050383873065
"132",1989,"N-29",6587.05006043794,228.477560537244,NA,NA
"133",1989,"N-30",6587.91535455283,188.175648322276,NA,NA
"134",1989,"O-19",6612.93973401836,598.103616338252,NA,NA
"135",1989,"O-20",6614.79448206892,560.885190558014,77.6506513304448,77.6506513304448
"136",1989,"O-21",6615.89698992925,523.895936835265,66.6129565936526,66.6129565936526
"137",1989,"O-22",6615.18061358123,485.627900021114,68.9435985620924,68.9435985620924
"138",1989,"O-23",6614.50036978933,448.173020578226,73.5164521715275,73.5164521715275
"139",1989,"O-24",6615.30403349432,412.103783944879,95.7682583878121,95.7682583878121
"140",1989,"O-25",6617.26632916735,372.649777232131,98.7377895172574,98.7377895172574
"141",1989,"O-26",6617.85225123682,337.871776211663,95.0756483401622,95.0756483401622
"142",1989,"O-27",6620.79686055671,305.593737081538,60.9464352949875,60.9464352949875
"143",1989,"O-28",6621.569709637,268.409982001535,NA,NA
"144",1989,"O-30",6626.43208971321,189.246545461193,68.2057144596165,68.2057144596165
"145",1989,"ON2524",6598.63361830177,397.336147094111,96.4381302603179,96.4381302603179
"146",1989,"ON2625",6598.0569264379,361.191457937919,98.2593117917827,98.2593117917827
"147",1989,"P-18",6653.71723648565,630.436686777986,NA,NA
"148",1989,"P-20",6651.77721048869,557.599684122591,NA,NA
"149",1989,"P-21",6651.75520816926,520.352734875161,65.492312982548,65.492312982548
"150",1989,"P-22",6650.56324253601,482.18397993882,57.3587105895701,57.3587105895701
"151",1989,"P-23",6651.71173429859,445.463180076322,64.1235523344035,64.1235523344035
"152",1989,"P-24",6652.76751323121,408.903784409423,90.6138031300032,90.6138031300032
"153",1989,"P-25",6653.74855397771,371.592730473748,96.2850579388996,96.2850579388996
"154",1989,"P-26",6655.9710206383,335.517987673461,99.8501663452055,99.8501663452055
"155",1989,"P-27",6659.03678755901,299.193455182662,96.3342926330242,96.3342926330242
"156",1989,"P-28",6660.60520292198,265.289080890238,NA,NA
"157",1989,"P-29",6661.94961021983,226.667708207232,NA,NA
"158",1989,"P-30",6664.95021980127,185.193303181727,54.7155333497148,54.7155333497148
"159",1989,"P-31",6667.87392487163,155.423717750637,53.1948597458942,53.1948597458942
"160",1989,"P-32",6672.02538730797,116.760926485669,NA,NA
"161",1989,"PO2423",6630.16534578589,430.624789958801,81.7664747232566,81.7664747232566
"162",1989,"PO2524",6634.46182216788,395.740586139292,94.8656394235519,94.8656394235519
"163",1989,"PO2625",6636.35016658759,358.595494108871,98.8085056682603,98.8085056682603
"164",1989,"PO2726",6637.77454519858,319.926883298379,94.9721149084342,94.9721149084342
"165",1989,"Q-19",6685.93523166566,592.303551646028,NA,NA
"166",1989,"Q-20",6687.75148081302,554.311812128804,NA,NA
"167",1989,"Q-21",6689.33479149861,516.896824229372,69.1643811894683,69.1643811894683
"168",1989,"Q-22",6689.49160952811,479.662561727758,64.8427221639936,64.8427221639936
"169",1989,"Q-23",6689.65036878296,440.6091795052,64.3917604590525,64.3917604590525
"170",1989,"Q-25",6689.40561106821,366.206867814959,91.699783511705,91.699783511705
"171",1989,"Q-26",6692.16279049712,331.385532253691,NA,NA
"172",1989,"Q-27",6692.65881915433,295.269089254392,98.3641086497449,98.3641086497449
"173",1989,"Q-28",6696.41996401777,256.876929347561,94.7550582866639,94.7550582866639
"174",1989,"Q-29",6699.65238862382,223.184920110389,66.9815468132771,66.9815468132771
"175",1989,"Q-30",6701.78516878801,183.965063248527,NA,NA
"176",1989,"Q-31",6705.24852359205,148.97137180413,55.6385541840205,55.6385541840205
"177",1989,"QP2423",6670.28102800136,426.590951764239,67.3691095991504,67.3691095991504
"178",1989,"QP2625",6672.62859454105,358.554407934534,97.3791933756026,97.3791933756026
