"","YEAR","SAM","LG_ABUND","COHORT_ABUND","ICE","TOCC","PMAT_INDPREF"
"1",1989,97.0606825609146,538.425025472486,2204.07423489741,0.143299242914939,2.14003728108098,0.108579029498765
"2",1990,100.385254727979,1238.6064702289,1584.68169495554,0.309769648337851,0.149786288972921,0.288976510254214
"3",1991,100.557360482506,737.383020897168,2835.03359651036,0.378564515405772,0.975101079013841,0.254344330230668
"4",1992,91.1080058381671,459.302347405751,2670.41233119953,0.371333362812899,0.487946580402934,0.203692058715714
"5",1993,70.3840662686018,273.877879066063,5397.28954623096,0.253824332101004,0.882190895879352,0.0663654961269299
"6",1994,94.8202156987055,161.610620810428,3882.02097227184,0.276512058803013,-0.632197334414308,0.0453271061645426
"7",1995,95.8572835497932,234.479981017397,3172.44039958144,0.401109550631776,-0.281932299435286,0.0405393490535742
"8",1996,99.0862428237685,471.965561334924,1088.30075170817,0.139272242954799,1.64641803885606,0.0835529640099054
"9",1997,100.630764531585,526.284706327664,388.208200812126,0.322271286322146,0.949287010537272,0.313358770797045
"10",1998,95.8979644825173,394.752835152837,583.145372320003,0.333276566485969,1.76350956379324,0.347418929490758
"11",1999,91.5470063995092,184.077799501244,295.060388703718,0.371036071777344,-0.193318204551708,0.259649134825942
"12",2000,90.4413367281726,177.015112495078,1040.91874698841,0.300246644312022,0.494553431580077,0.0808333362020323
"13",2001,94.281358656329,197.767607505505,1072.50442218035,0.036588763801419,0.88507492437342,0.0557394463497485
"14",2002,95.0616900797902,170.685388573343,342.976408755692,0.303781676000478,1.36611222881964,0.188752663717117
"15",2003,98.3404121342544,166.209699244284,998.52978046202,0.141843940579161,1.52658079261906,0.209103138652257
"16",2004,92.6797138328424,138.016972316575,1163.40696885475,0.200521078304369,0.313470222065777,0.145078626503572
"17",2005,84.3261216592484,157.082752521991,1808.47857471449,0.13163123305963,1.10608465839986,0.0476506841581546
"18",2006,93.0316203351604,116.594971594214,806.376601768598,0.289358352349729,-0.681162871340293,0.065192428268471
"19",2007,95.113697200435,284.960433847617,1247.73762627209,0.287150797941247,-0.431524334015032,0.169533142203438
"20",2008,NA,247.922069569334,491.055327977663,0.426613078214684,-0.48635764113072,NA
"21",2009,97.8938582650882,297.499371720991,727.420410046557,0.407735421316964,-0.353838927918556,0.201267951265977
"22",2010,89.9063608946801,298.888127479839,2840.22565218772,0.420978997678173,0.0549401673929911,0.199748373287226
"23",2011,88.7518258385075,309.980202982718,1770.08300836599,0.253940585389429,1.03956714731775,0.108525049870716
"24",2012,NA,184.996872285913,945.414389288182,0.536317593321508,-0.25509469285341,NA
"25",2013,93.741372276883,204.178353653287,842.609821046246,0.398448131327726,-0.0593557314650272,0.138192450349649
"26",2014,NA,370.033691893702,1245.62515236758,0.137532890475526,1.82992106145004,NA
"27",2015,92.6429516924348,148.963731916862,978.466655948484,0.141542539012675,0.286623546756332,0.135648353733654
"28",2016,NA,107.712065976889,2068.98609073808,0.0799238243881537,1.05783152818616,NA
"29",2017,84.0514845911425,108.953820437394,4149.70217126738,0.171617356903699,0.131956135605169,0.0429238725907491
"30",2018,71.4175260904935,196.370114605445,7599.85662663036,0.0123427410514987,3.25152691463576,0.0186851972296876
"31",2019,86.9207283526579,242.275223217172,1037.93779254879,0.017243614975287,2.5308608827297,0.0553893843684468
"32",2020,NA,NA,NA,NA,NA,0.158006330655962
"33",2021,88.1806685402375,110.162453180357,20.3869592471417,0.104082815987723,2.34505255917519,0.180311740480472
"34",2022,89.9996099442035,77.1813880334253,574.764583315532,0.280262824856505,-0.494398361184298,0.120103445566119
"35",2023,92.4028486235525,56.3416966023642,619.094998028846,0.169087362484056,-0.286535341624439,0.032946550524304
"36",2024,94.1912692224542,83.4660116780817,2527.43980349,0.178222052126515,0.51169806510146,0.0233691195933073
"37",2025,77.0949001596041,126.794739861766,2696.05433234212,0.101361881178253,0.759761802410745,NA
