"year","latitude","longitude","name","value"
1980,50,-167.25,"Jan-Feb ice",NA
1980,50,-167.25,"Mar-Apr ice",NA
1980,50,-167,"Jan-Feb ice",NA
1980,50,-167,"Mar-Apr ice",NA
1980,50,-166.75,"Jan-Feb ice",NA
1980,50,-166.75,"Mar-Apr ice",NA
1980,50,-166.5,"Jan-Feb ice",NA
1980,50,-166.5,"Mar-Apr ice",NA
1980,50,-166.25,"Jan-Feb ice",NA
1980,50,-166.25,"Mar-Apr ice",NA
1980,50,-166,"Jan-Feb ice",NA
1980,50,-166,"Mar-Apr ice",NA
1980,50,-165.75,"Jan-Feb ice",NA
1980,50,-165.75,"Mar-Apr ice",NA
1980,50,-165.5,"Jan-Feb ice",NA
1980,50,-165.5,"Mar-Apr ice",NA
1980,50,-165.25,"Jan-Feb ice",NA
1980,50,-165.25,"Mar-Apr ice",NA
1980,50,-165,"Jan-Feb ice",NA
1980,50,-165,"Mar-Apr ice",NA
1980,50,-164.75,"Jan-Feb ice",NA
1980,50,-164.75,"Mar-Apr ice",NA
1980,50,-164.5,"Jan-Feb ice",NA
1980,50,-164.5,"Mar-Apr ice",NA
1980,50,-164.25,"Jan-Feb ice",NA
1980,50,-164.25,"Mar-Apr ice",NA
1980,50,-164,"Jan-Feb ice",NA
1980,50,-164,"Mar-Apr ice",NA
1980,50,-163.75,"Jan-Feb ice",NA
1980,50,-163.75,"Mar-Apr ice",NA
1980,50,-163.5,"Jan-Feb ice",NA
1980,50,-163.5,"Mar-Apr ice",NA
1980,50,-163.25,"Jan-Feb ice",NA
1980,50,-163.25,"Mar-Apr ice",NA
1980,50,-163,"Jan-Feb ice",NA
1980,50,-163,"Mar-Apr ice",NA
1980,50,-162.75,"Jan-Feb ice",NA
1980,50,-162.75,"Mar-Apr ice",NA
1980,50,-162.5,"Jan-Feb ice",NA
1980,50,-162.5,"Mar-Apr ice",NA
1980,50,-162.25,"Jan-Feb ice",NA
1980,50,-162.25,"Mar-Apr ice",NA
1980,50,-162,"Jan-Feb ice",NA
1980,50,-162,"Mar-Apr ice",NA
1980,50,-161.75,"Jan-Feb ice",NA
1980,50,-161.75,"Mar-Apr ice",NA
1980,50,-161.5,"Jan-Feb ice",NA
1980,50,-161.5,"Mar-Apr ice",NA
1980,50,-161.25,"Jan-Feb ice",NA
1980,50,-161.25,"Mar-Apr ice",NA
1980,50,-161,"Jan-Feb ice",NA
1980,50,-161,"Mar-Apr ice",NA
1980,50,-160.75,"Jan-Feb ice",NA
1980,50,-160.75,"Mar-Apr ice",NA
1980,50,-160.5,"Jan-Feb ice",NA
1980,50,-160.5,"Mar-Apr ice",NA
1980,50,-160.25,"Jan-Feb ice",NA
1980,50,-160.25,"Mar-Apr ice",NA
1980,50,-160,"Jan-Feb ice",NA
1980,50,-160,"Mar-Apr ice",NA
1980,50,-159.75,"Jan-Feb ice",NA
1980,50,-159.75,"Mar-Apr ice",NA
1980,50,-159.5,"Jan-Feb ice",NA
1980,50,-159.5,"Mar-Apr ice",NA
1980,50,-159.25,"Jan-Feb ice",NA
1980,50,-159.25,"Mar-Apr ice",NA
1980,50,-159,"Jan-Feb ice",NA
1980,50,-159,"Mar-Apr ice",NA
1980,50,-158.75,"Jan-Feb ice",NA
1980,50,-158.75,"Mar-Apr ice",NA
1980,50,-158.5,"Jan-Feb ice",NA
1980,50,-158.5,"Mar-Apr ice",NA
1980,50,-158.25,"Jan-Feb ice",NA
1980,50,-158.25,"Mar-Apr ice",NA
1980,50,-158,"Jan-Feb ice",NA
1980,50,-158,"Mar-Apr ice",NA
1980,50,-157.75,"Jan-Feb ice",NA
1980,50,-157.75,"Mar-Apr ice",NA
1980,50,-157.5,"Jan-Feb ice",NA
1980,50,-157.5,"Mar-Apr ice",NA
1980,50,-157.25,"Jan-Feb ice",NA
1980,50,-157.25,"Mar-Apr ice",NA
1980,50,-157,"Jan-Feb ice",NA
1980,50,-157,"Mar-Apr ice",NA
1980,50,-156.75,"Jan-Feb ice",NA
1980,50,-156.75,"Mar-Apr ice",NA
1980,50,-156.5,"Jan-Feb ice",NA
1980,50,-156.5,"Mar-Apr ice",NA
1980,50,-156.25,"Jan-Feb ice",NA
1980,50,-156.25,"Mar-Apr ice",NA
1980,50,-156,"Jan-Feb ice",NA
1980,50,-156,"Mar-Apr ice",NA
1980,50,-155.75,"Jan-Feb ice",NA
1980,50,-155.75,"Mar-Apr ice",NA
1980,50,-155.5,"Jan-Feb ice",NA
1980,50,-155.5,"Mar-Apr ice",NA
1980,50,-155.25,"Jan-Feb ice",NA
1980,50,-155.25,"Mar-Apr ice",NA
1980,50,-155,"Jan-Feb ice",NA
1980,50,-155,"Mar-Apr ice",NA
1980,50,-154.75,"Jan-Feb ice",NA
1980,50,-154.75,"Mar-Apr ice",NA
1980,50,-154.5,"Jan-Feb ice",NA
1980,50,-154.5,"Mar-Apr ice",NA
1980,50,-154.25,"Jan-Feb ice",NA
1980,50,-154.25,"Mar-Apr ice",NA
1980,50,-154,"Jan-Feb ice",NA
1980,50,-154,"Mar-Apr ice",NA
1980,50.25,-182,"Jan-Feb ice",NA
1980,50.25,-182,"Mar-Apr ice",NA
1980,50.25,-181.75,"Jan-Feb ice",NA
1980,50.25,-181.75,"Mar-Apr ice",NA
1980,50.25,-181.5,"Jan-Feb ice",NA
1980,50.25,-181.5,"Mar-Apr ice",NA
1980,50.25,-181.25,"Jan-Feb ice",NA
1980,50.25,-181.25,"Mar-Apr ice",NA
1980,50.25,-181,"Jan-Feb ice",NA
1980,50.25,-181,"Mar-Apr ice",NA
1980,50.25,-180.75,"Jan-Feb ice",NA
1980,50.25,-180.75,"Mar-Apr ice",NA
1980,50.25,-180.5,"Jan-Feb ice",NA
1980,50.25,-180.5,"Mar-Apr ice",NA
1980,50.25,-180.25,"Jan-Feb ice",NA
1980,50.25,-180.25,"Mar-Apr ice",NA
1980,50.25,-180,"Jan-Feb ice",NA
1980,50.25,-180,"Mar-Apr ice",NA
1980,50.25,-179.75,"Jan-Feb ice",NA
1980,50.25,-179.75,"Mar-Apr ice",NA
1980,50.25,-179.5,"Jan-Feb ice",NA
1980,50.25,-179.5,"Mar-Apr ice",NA
1980,50.25,-179.25,"Jan-Feb ice",NA
1980,50.25,-179.25,"Mar-Apr ice",NA
1980,50.25,-179,"Jan-Feb ice",NA
1980,50.25,-179,"Mar-Apr ice",NA
1980,50.25,-178.75,"Jan-Feb ice",NA
1980,50.25,-178.75,"Mar-Apr ice",NA
1980,50.25,-178.5,"Jan-Feb ice",NA
1980,50.25,-178.5,"Mar-Apr ice",NA
1980,50.25,-178.25,"Jan-Feb ice",NA
1980,50.25,-178.25,"Mar-Apr ice",NA
1980,50.25,-178,"Jan-Feb ice",NA
