"","YEAR","temp_occ"
"1",1980,2.16639602976378
"2",1981,3.13630450291422
"3",1982,2.75388835875395
"4",1983,2.25469798308644
"5",1984,0.716610967440201
"6",1985,0.289195848153691
"7",1986,0.572934243231425
"8",1987,2.04877095133978
"9",1988,0.27131901693573
"10",1989,2.47085542790202
"11",1990,1.01992072157661
"12",1991,1.21205256880332
"13",1992,0.448150774233517
"14",1993,1.24072870878515
"15",1994,-0.790951033676612
"16",1995,0.177922218873977
"17",1996,2.4666014672113
"18",1997,1.73270767283851
"19",1998,1.87291362578124
"20",1999,0.119237660217326
"21",2000,0.376857296660273
"22",2001,1.09862442889236
"23",2002,2.02104167891734
"24",2003,2.48195973509843
"25",2004,1.51913743520778
"26",2005,1.76662452844306
"27",2006,-0.31831429372936
"28",2007,-0.233565976750919
"29",2008,0.177110051113567
"30",2009,-0.465290586625253
"31",2010,-0.166590216402693
"32",2011,1.3030953711772
"33",2012,0.121982317818432
"34",2013,0.570335214196715
"35",2014,2.08641241344521
"36",2015,0.695219916454385
"37",2016,0.827686949425836
"38",2017,0.20621449572461
"39",2018,3.30522437325343
"40",2019,2.4168712455769
"41",2021,2.38179888126486
"42",2022,-0.371205199185929
"43",2023,-0.0294521195716143
"44",2024,0.544028991241561
"45",2025,0.921219303088347
