"","YEAR","SIZE_1MM","COHORT_ABUND"
"1",1989,40,65.3287137972351
"2",1989,41,73.0465968394394
"3",1989,42,95.2044783350662
"4",1989,43,74.4406097431322
"5",1989,44,94.7419708260331
"6",1989,45,88.7172551469799
"7",1989,46,77.9572860727289
"8",1989,47,90.9849294764748
"9",1989,48,88.3432036017581
"10",1989,49,86.2689010252394
"11",1989,50,98.775574705492
"12",1989,51,100.813197944155
"13",1989,52,114.259711463324
"14",1989,53,86.8843147154831
"15",1989,54,91.7885493058039
"16",1989,55,119.631186392286
"17",1989,56,106.75765260517
"18",1989,57,94.5914047684844
"19",1989,58,117.419128126751
"20",1989,59,96.4191489676667
"21",1989,60,101.921016568403
"22",1990,40,20.3112636324396
"23",1990,41,16.5845562786405
"24",1990,42,57.3682104254728
"25",1990,43,31.1356576422545
"26",1990,44,30.3866174122253
"27",1990,45,63.4575941049323
"28",1990,46,45.6962258896151
"29",1990,47,64.5715017137151
"30",1990,48,46.8178293679107
"31",1990,49,39.1702539328089
"32",1990,50,89.8709394466378
"33",1990,51,59.9884156506483
"34",1990,52,93.9243448128824
"35",1990,53,105.74599751315
"36",1990,54,81.5131509907512
"37",1990,55,121.205282657142
"38",1990,56,96.2134069957596
"39",1990,57,116.398763689921
"40",1990,58,92.0799667899901
"41",1990,59,87.9932637746623
"42",1990,60,99.1191360125163
"43",1991,40,110.072831218
"44",1991,41,72.5779890354321
"45",1991,42,120.306542427212
"46",1991,43,120.371154992249
"47",1991,44,133.421689803354
"48",1991,45,138.18282354525
"49",1991,46,115.965274645107
"50",1991,47,122.667050247339
"51",1991,48,146.455490304045
"52",1991,49,87.156783280883
"53",1991,50,113.833770428101
"54",1991,51,90.2629592605705
"55",1991,52,110.193354428724
"56",1991,53,105.530360668429
"57",1991,54,102.27362828176
"58",1991,55,144.707240001017
"59",1991,56,129.445261490112
"60",1991,57,180.852957180226
"61",1991,58,199.822851169885
"62",1991,59,76.927168014382
"63",1991,60,194.342944733244
"64",1992,40,104.409705301524
"65",1992,41,132.149216134359
"66",1992,42,151.027281499751
"67",1992,43,194.827421646461
"68",1992,44,224.653640867113
"69",1992,45,225.503025939575
"70",1992,46,186.98645162673
"71",1992,47,181.35943951608
"72",1992,48,157.228236706014
"73",1992,49,94.7499993437607
"74",1992,50,120.47255307848
"75",1992,51,86.6759694188556
"76",1992,52,81.8801687580356
"77",1992,53,56.7002852352257
"78",1992,54,47.0369958721153
"79",1992,55,43.847894614649
"80",1992,56,45.084860005364
"81",1992,57,48.3954004962481
"82",1992,58,61.5414908119745
"83",1992,59,53.1024390685518
"84",1992,60,40.1652248512711
"85",1993,40,243.941054958367
"86",1993,41,300.068862896648
"87",1993,42,288.415274907647
"88",1993,43,197.76744074755
"89",1993,44,187.694470659414
"90",1993,45,289.283049027867
"91",1993,46,209.185801309713
"92",1993,47,279.424823899462
"93",1993,48,178.031908561956
"94",1993,49,132.616093034962
"95",1993,50,295.222781255988
"96",1993,51,170.731090602418
"97",1993,52,317.977794870314
"98",1993,53,225.126585735253
"99",1993,54,210.907627984422
"100",1993,55,154.471366487066
"101",1993,56,210.587560466293
"102",1993,57,246.465888221229
"103",1993,58,216.931272172096
"104",1993,59,145.865584297779
"105",1993,60,197.712552815859
"106",1994,40,171.609176496475
"107",1994,41,135.064882185245
"108",1994,42,156.927331816411
"109",1994,43,166.165425734573
"110",1994,44,175.022161666706
"111",1994,45,176.191486607593
"112",1994,46,135.385690217255
"113",1994,47,161.152495993634
"114",1994,48,111.260195334959
"115",1994,49,130.741261354812
"116",1994,50,159.527869288619
"117",1994,51,154.995441480862
"118",1994,52,220.408798365991
"119",1994,53,173.947532518916
"120",1994,54,160.808970635175
"121",1994,55,194.437498468261
"122",1994,56,205.755266357686
"123",1994,57,215.402206176592
"124",1994,58,188.532552520716
"125",1994,59,149.692508169695
"126",1994,60,164.853781058685
"127",1995,40,45.0449996482937
"128",1995,41,44.5076814835532
"129",1995,42,69.3473632816074
"130",1995,43,46.1135505237734
"131",1995,44,61.5381270401488
"132",1995,45,102.710071456799
"133",1995,46,91.5960031380078
"134",1995,47,114.437235725972
"135",1995,48,124.568423333302
"136",1995,49,127.787440261311
"137",1995,50,163.737754746277
"138",1995,51,139.977833172203
"139",1995,52,178.76549094175
"140",1995,53,147.049998542535
"141",1995,54,216.468607551037
"142",1995,55,187.878181075397
"143",1995,56,217.743523523378
"144",1995,57,235.314419307016
"145",1995,58,156.516028724032
"146",1995,59,169.557287453979
"147",1995,60,188.255947599886
"148",1996,40,14.9645866448421
"149",1996,41,14.1354086642006
"150",1996,42,23.7567541868329
"151",1996,43,12.753632843757
"152",1996,44,12.881939604585
"153",1996,45,21.9263601992951
"154",1996,46,22.4231317087825
"155",1996,47,20.5811772629459
"156",1996,48,27.8884937528493
"157",1996,49,20.9955217307195
"158",1996,50,29.8834463738742
"159",1996,51,37.8611490125367
"160",1996,52,48.7295547938988
"161",1996,53,57.7388539807698
"162",1996,54,54.3569752965799
"163",1996,55,68.1219112239651
"164",1996,56,67.5470515378561
"165",1996,57,91.013739018946
"166",1996,58,87.5935861597601
"167",1996,59,62.1950011641313
"168",1996,60,93.4661254899815
"169",1997,40,1.87480192266523
"170",1997,41,4.33601180384691
"171",1997,42,6.72818325490093
"172",1997,43,5.85290646707397
"173",1997,44,11.9843309967728
"174",1997,45,8.11707412262377
"175",1997,46,7.4242327106325
"176",1997,47,19.2532117921736
"177",1997,48,19.5393648522081
"178",1997,49,7.11305425592222
"179",1997,50,25.1300034322113
"180",1997,51,21.8377829576569
"181",1997,52,13.1700071220358
"182",1997,53,19.280218779079
"183",1997,54,22.2153831094784
"184",1997,55,27.1473312913691
"185",1997,56,22.1032311613571
"186",1997,57,28.9308637124886
"187",1997,58,32.4095769338039
"188",1997,59,21.6823061252962
"189",1997,60,41.0884659903489
"190",1998,40,6.7058840328813
"191",1998,41,7.70245020730367
"192",1998,42,18.9984167353901
"193",1998,43,11.278631729548
"194",1998,44,28.925430963053
"195",1998,45,29.6973469041112
"196",1998,46,29.2469803583365
"197",1998,47,37.8736820422001
"198",1998,48,30.3831716529279
"199",1998,49,39.9614622267502
"200",1998,50,34.7952194200912
"201",1998,51,23.9343152088818
"202",1998,52,25.1530510255882
"203",1998,53,23.3346724179855
"204",1998,54,26.5242147929091
"205",1998,55,27.3866078395653
"206",1998,56,27.1941089377186
"207",1998,57,40.9453670802328
"208",1998,58,23.2496645144879
"209",1998,59,20.2848980922346
"210",1998,60,28.6286544404558
"211",1999,40,8.08827886524308
"212",1999,41,6.11434653812627
"213",1999,42,7.12581038916914
"214",1999,43,6.1756780024764
"215",1999,44,5.6444855079549
"216",1999,45,9.49818668707458
"217",1999,46,11.0468738616924
"218",1999,47,11.7993385931736
"219",1999,48,10.1208464165892
"220",1999,49,10.3652820735854
"221",1999,50,12.8695767145082
"222",1999,51,13.1527672797305
