"","YEAR","SPECIES","DISTRICT","SAM_mean","VAR_total","SAM_sd","SAM_lo","SAM_hi"
"1",1990,"TANNER","E166",115.582453089975,1.45174166766633,1.20488242898066,113.220883529173,117.944022650777
"2",1990,"TANNER","W166",106.547664638716,16.3397139417924,4.04224120282207,98.624871881185,114.470457396248
"3",1991,"TANNER","E166",123.688746937893,2.2270933741119,1.4923449246444,120.763750885589,126.613742990196
"4",1991,"TANNER","W166",101.630494760916,6.61481595818363,2.57192845121781,96.5895149965296,106.671474525303
"5",1992,"TANNER","E166",123.401314648714,14.6041334593732,3.82153548451054,115.911105099073,130.891524198355
"6",1992,"TANNER","W166",106.036142535693,4.11095490324075,2.02754898910994,102.062146517037,110.010138554348
"7",1993,"TANNER","E166",128.162728482793,10.3209147837933,3.2126180575651,121.865997089966,134.459459875621
"8",1993,"TANNER","W166",97.8111735959709,13.0717508206024,3.61548763247814,90.7248178363138,104.897529355628
"9",1994,"TANNER","E166",111.666318633643,49.5242329904524,7.0373455926544,97.8731212720401,125.459515995245
"10",1994,"TANNER","W166",92.5942879100285,14.1746349070532,3.76492163358724,85.2150415081975,99.9735343118595
"11",1995,"TANNER","E166",109.487219089155,24.4337460936403,4.94305028232975,99.7988405357887,119.175597642521
"12",1995,"TANNER","W166",94.5451800770684,3.10480835444983,1.76204663798942,91.0915686666091,97.9987914875276
"13",1996,"TANNER","E166",114.262518999005,5.48058934758287,2.34106585716482,109.674029918962,118.851008079048
"14",1996,"TANNER","W166",102.990355733802,17.1214768211537,4.13781063137908,94.8802468962987,111.100464571305
"15",1997,"TANNER","E166",112.62003544048,16.3447314697138,4.04286179206188,104.696026328038,120.544044552921
"16",1997,"TANNER","W166",109.944330376783,11.8476067954098,3.44203526934425,103.197941248868,116.690719504697
"17",1998,"TANNER","E166",108.092345715445,29.4707416323578,5.42869612636016,97.4521013077793,118.732590123111
"18",1998,"TANNER","W166",94.5937927051041,18.0097169034223,4.24378568066559,86.2759727709996,102.911612639209
"19",1999,"TANNER","E166",114.15834470197,4.47229742659167,2.11478070413735,110.013374521861,118.30331488208
"20",1999,"TANNER","W166",107.265844270738,16.7423972312613,4.09174745448217,99.2460192599529,115.285669281523
"21",2000,"TANNER","E166",130.925622849742,21.3233665430648,4.61772309077372,121.874885591825,139.976360107658
"22",2000,"TANNER","W166",103.926789099904,1.7108443770232,1.30799249884057,101.363123802177,106.490454397632
"23",2001,"TANNER","E166",118.403865358277,6.33514495603824,2.51697138562166,113.470601442458,123.337129274095
"24",2001,"TANNER","W166",108.022274730629,4.32816805015739,2.080424968644,103.944641792086,112.099907669171
"25",2002,"TANNER","E166",117.444436066768,40.4063470232554,6.35659869924596,104.985502616246,129.90336951729
"26",2002,"TANNER","W166",101.785350602375,8.31395215638128,2.88339247352512,96.1339013542655,107.436799850484
"27",2003,"TANNER","E166",119.431027555013,11.6271204171244,3.40985636312211,112.747709083294,126.114346026732
"28",2003,"TANNER","W166",97.4794050969087,13.7334618062824,3.70586856300684,90.2159027134153,104.742907480402
"29",2004,"TANNER","E166",108.899030501213,51.0397768879678,7.14421282493514,94.8963733643405,122.901687638086
"30",2004,"TANNER","W166",118.021503071895,5.16833986865895,2.27339830840505,113.565642387421,122.477363756368
"31",2005,"TANNER","E166",92.1552023846829,7.98142692606974,2.82514193025231,86.6179242013884,97.6924805679775
"32",2005,"TANNER","W166",91.6645768863449,3.65447690203982,1.91166861721372,87.9177063966061,95.4114473760838
"33",2006,"TANNER","E166",117.305276191757,12.7244141615723,3.56712968107024,110.31370201686,124.296850366655
"34",2006,"TANNER","W166",110.207027691088,5.5262974982341,2.35080783949563,105.599444325676,114.814611056499
"35",2007,"TANNER","E166",120.456296811014,8.66409838848311,2.9434840560946,114.687068061068,126.225525560959
"36",2007,"TANNER","W166",108.864789999689,3.62228754245529,1.90323081691509,105.134457598535,112.595122400842
"37",2008,"TANNER","E166",113.225604168738,14.2001404137908,3.76830736721288,105.839721729001,120.611486608475
"38",2008,"TANNER","W166",96.9836227166953,12.934749752888,3.59649131138781,89.9344997463752,104.032745687015
"39",2009,"TANNER","E166",104.660085559475,14.6979834762796,3.83379491839086,97.1458475194289,112.174323599521
"40",2009,"TANNER","W166",101.717216447175,48.8499132080214,6.98927129306206,88.0182447127736,115.416188181577
"41",2010,"TANNER","E166",116.73464633017,83.8903656182701,9.15916839119524,98.7826762834275,134.686616376913
"42",2010,"TANNER","W166",102.205410855803,37.4943429491736,6.12326244327103,90.2038164669915,114.207005244614
"43",2011,"TANNER","E166",103.639667843116,40.1582389974478,6.33705286370942,91.2190442302451,116.060291455986
"44",2011,"TANNER","W166",107.091848809855,120.791930312784,10.9905382176117,85.5503939033359,128.633303716374
"45",2012,"TANNER","E166",108.12543127291,24.6223928540302,4.96209561113349,98.3997238750883,117.851138670732
"46",2012,"TANNER","W166",110.194711930566,4.44820295929732,2.1090763284664,106.060922326772,114.32850153436
"47",2014,"TANNER","E166",109.574144307275,5.98003890058764,2.44541180593119,104.78113716765,114.3671514469
"48",2014,"TANNER","W166",108.852604295439,8.86726210254279,2.97779483889384,103.016126411207,114.689082179671
"49",2016,"TANNER","E166",114.628273110938,7.69549058890028,2.77407472662513,109.191086646753,120.065459575123
"50",2016,"TANNER","W166",90.9598572440055,4.6012163564471,2.14504460476865,86.755569818659,95.1641446693521
"51",2017,"TANNER","E166",122.032377175576,17.9524405226692,4.23703204173266,113.72779437378,130.336959977372
"52",2017,"TANNER","W166",94.5473640554177,2.75076818758824,1.65854399627753,91.2966178227138,97.7981102881217
