"","YEAR","SAM","LG_ABUND","INST1_ABUND","EXP_RATE","ICE","TOCC"
"1",1989,95.5549109476396,531.188497444695,2286.95522323512,0.487661939656687,-0.810673121992992,2.84091618105981
"2",1990,99.0462244464203,1221.23102232052,1599.36618887718,0.464016366227779,0.564901732356087,1.243053035225
"3",1991,98.5659289303542,728.990573026019,2956.83738437744,0.346839788461997,0.938277257113942,2.09462819692583
"4",1992,91.7207668213777,456.481084238661,2921.42458837212,0.563563028273958,0.85063954698041,0.955877634392253
"5",1993,63.2166679340017,271.602083944771,5685.89836005615,0.709340109711955,0.127224416028708,1.99305942589606
"6",1994,95.7195968819193,159.982017007115,4046.87252221422,0.567787181393541,0.347795044369704,0.447534652050175
"7",1995,93.5213638843355,230.936849648317,3195.45545373997,0.645081667036121,1.09584208661957,0.832872146610926
"8",1996,97.0833568377287,464.565022370975,1080.62238018865,0.47668208340177,-0.630084467133911,2.47219890081425
"9",1997,99.6305653966545,520.931407034737,389.162504371407,0.40640776509974,0.311182588766909,1.74462804358139
"10",1998,94.2959666225763,390.871470938288,603.52963966421,0.502039065693722,0.649171652515362,2.38010511907651
"11",1999,92.1089261377333,182.219437961859,299.56833959963,0.224348829552574,0.633524244713283,0.893447759539283
"12",2000,91.127646149464,175.414572388985,1070.71139342,0.209908544526795,0.46855117419078,1.637357810862
"13",2001,96.2832853116873,195.624174068965,1101.89263235096,0.26550434917283,-1.24643571282512,2.02618112059885
"14",2002,95.144739029448,168.546493637593,350.732659467708,0.259311937788561,0.542019512376487,2.0623122564144
"15",2003,99.1131771593111,164.466478747437,1050.3954458011,0.243632575028486,-0.455677896193305,2.92286791377888
"16",2004,93.4188990510189,136.877905722486,1221.56859518482,0.257907208094675,-0.308321273314914,1.82897960623149
"17",2005,83.320014747935,155.618903794296,1864.50895768023,0.273802177321557,-0.490589293427042,2.74231414481614
"18",2006,88.1531992402487,115.498420205943,858.917668174956,0.166994130864045,0.563012073971834,1.02682811692728
"19",2007,94.3180686837925,282.530721821942,1260.99648082136,0.264275870854355,0.279322638643287,0.276620558797798
"20",2008,NA,246.007015598529,489.754891062279,0.300924427962931,1.02143635191847,0.635676956136481
"21",2009,98.1025560967809,294.368870835772,766.878037688389,0.198442914438233,1.02432866246539,0.733484652125534
"22",2010,84.298584172308,296.601685341068,3028.8639570922,0.208295793370515,1.0847983137433,1.33897467007796
"23",2011,88.6797577776764,308.034141321553,1808.79065840562,0.294631884948397,-0.0672699473241068,2.36699841939061
"24",2012,NA,183.459272394537,978.645095312745,0.407478547021789,1.52069194547124,0.892922661112163
"25",2013,92.821422263168,202.193588743295,869.430784015872,0.472853441465293,1.02338444329817,1.37823066068166
"26",2014,NA,366.960558623225,1293.82880983027,0.303307355245708,-0.484094006639477,2.78970316569895
"27",2015,91.0603490164408,147.402794880056,1055.75657098909,0.507838953078936,-0.79940402564085,2.68346022708087
"28",2016,NA,106.602312061238,2273.18384314479,0.38029700515765,-0.979534011791815,3.31288494266301
"29",2017,87.0664518905364,107.85956742263,4504.91344887494,0.392282768598372,-0.855692975297006,1.88867384155509
"30",2018,69.8155590615725,193.364691807146,7745.96136093463,0.404158047206808,-2.08932263738945,3.65187545544922
"31",2019,75.5279077109391,238.104536841206,1017.36067108678,0.553062064673389,-1.89103494626203,2.99122560483856
"32",2020,NA,NA,NA,NA,NA,NA
"33",2021,87.4050710799255,108.31404417599,20.5719505096053,0.168588617863778,-0.612209802572474,2.29406959668553
"34",2022,89.0287875992667,76.2978375902206,623.458501202108,0,0.181502238844221,0.596393750746937
"35",2023,92.253812908174,55.9082383308636,653.051601507465,0,-0.202090488140691,1.41965145292943
"36",2024,94.2266118728343,82.7415581113178,2651.60103851661,0.0940575169397105,-0.125171267336882,1.71512478074925
"37",2025,78.6966139606334,125.36935560675,2779.8888045382,NA,-0.680263161757795,2.3062290112386
