"","YEAR","SPECIES","DISTRICT","SIZE_5MM","denom","num","PROP_MATURE"
"1",1989,"SNOW","ALL",17.5,1846.80286229992,0.0103809990207789,5.62106504851896e-06
"2",1989,"SNOW","ALL",22.5,3387.77343420869,1.07144822958025,0.000316269151520318
"3",1989,"SNOW","ALL",27.5,1309.7252842023,1.82977440982651,0.00139706733304836
"4",1989,"SNOW","ALL",32.5,2330.58053525969,3.1990909021403,0.00137265838006488
"5",1989,"SNOW","ALL",37.5,5867.9384288477,32.8806759894374,0.00560344597819754
"6",1989,"SNOW","ALL",42.5,13723.8380827187,256.985729121218,0.0187254999346588
"7",1989,"SNOW","ALL",47.5,14822.3144535837,741.675124793961,0.0500377405375204
"8",1989,"SNOW","ALL",52.5,17772.1355525333,2015.02984307157,0.11338141311804
"9",1989,"SNOW","ALL",57.5,21688.9276338135,4227.43644424996,0.194912192784455
"10",1989,"SNOW","ALL",62.5,24439.2347258382,6333.30453844454,0.259144961349739
"11",1989,"SNOW","ALL",67.5,29798.0985830289,8575.0444154503,0.287771529836273
"12",1989,"SNOW","ALL",72.5,29241.4370658146,9136.26567884789,0.312442430865645
"13",1989,"SNOW","ALL",77.5,20717.1092827968,6831.88122746018,0.329770004791802
"14",1989,"SNOW","ALL",82.5,14695.6939821561,4656.75180056171,0.316878658892602
"15",1989,"SNOW","ALL",87.5,10648.1267117058,3299.6435236078,0.30988018953422
"16",1989,"SNOW","ALL",92.5,8519.2327139691,3105.55924264435,0.36453508747943
"17",1989,"SNOW","ALL",97.5,6502.75848210463,3336.23338247604,0.513048945560141
"18",1989,"SNOW","ALL",102.5,3965.31654494278,2718.88913466276,0.685667614135453
"19",1989,"SNOW","ALL",107.5,2417.18833850056,2081.31026025794,0.861045962826805
"20",1989,"SNOW","ALL",112.5,1253.15161545941,1154.53157421509,0.921302386696304
"21",1989,"SNOW","ALL",117.5,846.741414466617,797.618388373934,0.941985799615546
"22",1989,"SNOW","ALL",122.5,550.842999182692,528.259657238312,0.959002216642696
"23",1989,"SNOW","ALL",127.5,183.725912746693,180.18863388097,0.980746978949021
"24",1989,"SNOW","ALL",132.5,49.305342350164,48.9846030259289,0.993494836280474
"25",1989,"SNOW","ALL",137.5,20.422888705298,20.277737001493,0.992892694765191
"26",1989,"SNOW","ALL",142.5,1.30171169021209,1.29652725237592,0.99601721496768
"27",1990,"SNOW","ALL",7.5,938314.572445811,0.110128395763359,1.17368310156687e-07
"28",1990,"SNOW","ALL",12.5,53186.3858589395,0.394878033816238,7.42441937798764e-06
"29",1990,"SNOW","ALL",17.5,6794.38773040141,0.00858485211882386,1.26352107937718e-06
"30",1990,"SNOW","ALL",22.5,5248.13533787005,0.904254185762561,0.000172300088993046
"31",1990,"SNOW","ALL",27.5,5883.16974805209,3.7796779845707,0.000642456047749115
"32",1990,"SNOW","ALL",32.5,13047.6281619003,10.730664414989,0.000822422610595467
"33",1990,"SNOW","ALL",37.5,9051.0128072664,18.7152694275252,0.00206775416476045
"34",1990,"SNOW","ALL",42.5,5525.03141626535,63.0928188428205,0.0114194497893857
"35",1990,"SNOW","ALL",47.5,9043.36683849947,276.272906747274,0.0305497843536684
"36",1990,"SNOW","ALL",52.5,15595.0024130492,1115.98615938599,0.0715604993079185
"37",1990,"SNOW","ALL",57.5,19584.8399466917,2312.96351644525,0.118099689491512
"38",1990,"SNOW","ALL",62.5,17318.4140994111,2617.89074397538,0.151162267454062
"39",1990,"SNOW","ALL",67.5,15002.4000876242,2799.0076233964,0.18657065583162
"40",1990,"SNOW","ALL",72.5,12396.7188640901,3093.59888203697,0.249549813620303
"41",1990,"SNOW","ALL",77.5,10947.5515839564,3177.79029710147,0.290274064728638
"42",1990,"SNOW","ALL",82.5,11230.4852813743,3266.78008587712,0.290885033373852
