"","YEAR","temp_occ"
"1",1980,2.18505760564957
"2",1981,3.18194364925484
"3",1982,2.75586303420425
"4",1983,2.12572891286764
"5",1984,0.682149272372905
"6",1985,0.243444871481183
"7",1986,0.478692742440989
"8",1987,2.13001240634493
"9",1988,0.319594204458626
"10",1989,2.52998231360425
"11",1990,0.996373250637287
"12",1991,1.26996471528467
"13",1992,0.411079780278565
"14",1993,1.22425650978017
"15",1994,-0.857690647830924
"16",1995,0.192542698111426
"17",1996,2.49911221600817
"18",1997,1.75467833478433
"19",1998,1.8856636930762
"20",1999,-0.0557018479226126
"21",2000,0.310921076502529
"22",2001,1.16470112164045
"23",2002,1.95407849738362
"24",2003,2.29996308009143
"25",2004,1.72089077841375
"26",2005,1.77474930061522
"27",2006,-0.355742086957468
"28",2007,-0.199329095140159
"29",2008,0.165285605214171
"30",2009,-0.422341931908256
"31",2010,-0.182565813514796
"32",2011,1.25347740327387
"33",2012,0.0969767802799202
"34",2013,0.460303325608332
"35",2014,2.04383400255045
"36",2015,0.518989931009211
"37",2016,0.642309791202356
"38",2017,0.0737041154455846
"39",2018,3.297316618551
"40",2019,2.38599700010192
"41",2021,2.36338815215738
"42",2022,-0.168322374375752
"43",2023,-0.314694939833851
"44",2024,0.449413940551985
"45",2025,1.02892202246107
