"","YEAR","temp_occ"
"1",1980,2.16177393891241
"2",1981,3.1350702721986
"3",1982,2.75187280778123
"4",1983,2.21114386340834
"5",1984,0.636490047539188
"6",1985,0.291250154291974
"7",1986,0.572412193735504
"8",1987,2.02678598912795
"9",1988,0.237711211951022
"10",1989,2.46547295752452
"11",1990,0.957634732136689
"12",1991,1.2010890383702
"13",1992,0.40385412183015
"14",1993,1.22071077238449
"15",1994,-0.869280628108089
"16",1995,0.122676041695143
"17",1996,2.45550272099297
"18",1997,1.73599437659037
"19",1998,1.86913512381523
"20",1999,0.0597507665618373
"21",2000,0.341193032287152
"22",2001,1.06716558668345
"23",2002,1.99614450302354
"24",2003,2.36582291831947
"25",2004,1.5871271330562
"26",2005,1.74003889449517
"27",2006,-0.366636445443749
"28",2007,-0.229695013788332
"29",2008,0.162075419541142
"30",2009,-0.510318784328787
"31",2010,-0.198729663025485
"32",2011,1.26232275961381
"33",2012,0.0834291099352609
"34",2013,0.503569336699473
"35",2014,2.05121482512907
"36",2015,0.542153746041209
"37",2016,0.651741992037596
"38",2017,0.114924966989247
"39",2018,3.31077779955022
"40",2019,2.42153656174378
"41",2021,2.37961060856859
"42",2022,-0.340085929582942
"43",2023,-0.129832918110505
"44",2024,0.486104713048591
"45",2025,0.901092833161405
