"","YEAR","temp_occ"
"1",1989,2.05717635414106
"2",1990,0.12513707476649
"3",1991,0.923028788388163
"4",1992,0.63542717933098
"5",1993,0.865062862898461
"6",1994,-0.651693170341224
"7",1995,-0.313147441905692
"8",1996,1.61151371145232
"9",1997,0.916518068194199
"10",1998,1.69721835588844
"11",1999,-0.24488042705085
"12",2000,0.420899362150409
"13",2001,0.77559023148089
"14",2002,1.32386705161249
"15",2003,1.42201728355517
"16",2004,0.30070119627332
"17",2005,1.14816099441784
"18",2006,-0.719414246357837
"19",2007,-0.44815362646613
"20",2008,-0.49437691985509
"21",2009,-0.452131264500866
"22",2010,-0.0110832971400468
"23",2011,0.979679233978627
"24",2012,-0.310030424238054
"25",2013,-0.146589991112254
"26",2014,1.78776065318557
"27",2015,0.144553831004952
"28",2016,0.737514643018681
"29",2017,-0.00303015117779406
"30",2018,3.25958292047227
"31",2019,2.52829430638516
"32",2021,2.34666926114179
"33",2022,-0.586241191469518
"34",2023,-0.314870831749244
"35",2024,0.441934667983139
"36",2025,0.664320171915466
