"","YEAR","SPECIES","DISTRICT","SAM_mean","SAM_sd","SAM_lo","SAM_hi",".groups"
"1",1989,"SNOW","ALL",97.0151129342133,1.53303980831203,93.7547537038164,99.761886514028,"drop"
"2",1990,"SNOW","ALL",100.677614820693,1.36476968033915,97.9543331497881,103.120959440536,"drop"
"3",1991,"SNOW","ALL",100.730776962063,0.393864880988295,99.861139779693,101.460836246464,"drop"
"4",1992,"SNOW","ALL",91.7024784113953,1.3024978145466,89.3642043338015,93.5274951111436,"drop"
"5",1993,"SNOW","ALL",70.6647568460274,1.51811669526691,68.0350749786707,74.1584313193476,"drop"
"6",1994,"SNOW","ALL",95.0251986231211,0.817355316969225,93.4485201085568,96.6649850873271,"drop"
"7",1995,"SNOW","ALL",96.0880771951995,1.23338720437773,93.8289220425573,98.4982896842263,"drop"
"8",1996,"SNOW","ALL",99.1790001356306,0.604618622919026,97.9608727822553,100.339573903019,"drop"
"9",1997,"SNOW","ALL",100.966830719004,0.738070941133464,99.6153814840235,102.497071988253,"drop"
"10",1998,"SNOW","ALL",96.1876806818866,0.494408799813355,95.2722993889869,97.2657740683645,"drop"
"11",1999,"SNOW","ALL",91.9388506463298,1.37348230710722,89.4203469100374,94.0251482679277,"drop"
"12",2000,"SNOW","ALL",90.7282108939085,1.19141885058456,88.4603190324487,92.898148446647,"drop"
"13",2001,"SNOW","ALL",94.4906659865293,0.585357470605368,93.3042877428782,95.6125781010267,"drop"
"14",2002,"SNOW","ALL",95.1885886530567,1.14946538068835,93.0388008296339,97.4117903399238,"drop"
"15",2003,"SNOW","ALL",98.5048669552539,0.539981966308615,97.4054689054978,99.5528249981279,"drop"
"16",2004,"SNOW","ALL",87.4967109765519,7.64196345823529,73.6195604288908,95.3842517486427,"drop"
"17",2005,"SNOW","ALL",84.4787892198123,6.22117597398954,73.9838608129549,93.5083263269215,"drop"
"18",2006,"SNOW","ALL",93.0136911730049,1.73398384193871,90.0692982186152,96.735830841849,"drop"
"19",2007,"SNOW","ALL",95.38518510012,0.836499947462013,93.8062633638743,97.0521742290689,"drop"
"20",2009,"SNOW","ALL",97.458011770273,1.01591413597057,95.0948393587102,99.0316885833797,"drop"
"21",2010,"SNOW","ALL",84.0241786681984,10.7612705690977,64.3084551456305,97.8594907862047,"drop"
"22",2011,"SNOW","ALL",80.2758924146896,10.72231735237,62.5781943889376,91.1484979237212,"drop"
"23",2013,"SNOW","ALL",93.0185667969639,2.88038012809535,89.4029161852611,96.8898179693077,"drop"
"24",2015,"SNOW","ALL",89.7222655179396,5.72473504392056,73.6350467960473,95.2912022662786,"drop"
"25",2017,"SNOW","ALL",83.7154111168788,2.0670129514103,77.0443708186566,86.2149812891501,"drop"
"26",2018,"SNOW","ALL",71.123528924742,1.74068962726223,68.0074875685625,74.9123874552349,"drop"
"27",2019,"SNOW","ALL",86.3845434626034,1.99723142760372,82.4018032998945,89.842757543312,"drop"
"28",2021,"SNOW","ALL",87.809025143096,1.61746891178007,83.9452825799524,89.9088612822169,"drop"
"29",2022,"SNOW","ALL",88.9267803561541,3.61496408156176,77.3586580643776,92.9395508966627,"drop"
"30",2023,"SNOW","ALL",92.003913143731,2.01738577295458,89.0415508216768,94.3159837507684,"drop"
"31",2024,"SNOW","ALL",94.2941538168434,1.08407209372079,92.0608781593364,96.287614181149,"drop"
"32",2025,"SNOW","ALL",80.6178861216726,6.38229108364679,73.008492269029,91.4111278741512,"drop"
"33",2008,NA,NA,NA,NA,NA,NA,NA
"34",2012,NA,NA,NA,NA,NA,NA,NA
"35",2014,NA,NA,NA,NA,NA,NA,NA
"36",2016,NA,NA,NA,NA,NA,NA,NA
"37",2020,NA,NA,NA,NA,NA,NA,NA
