"","YEAR","temp_occ"
"1",1989,2.06448333640225
"2",1990,0.179881188543305
"3",1991,0.952077873074251
"4",1992,0.670951368201674
"5",1993,0.889984518679634
"6",1994,-0.651264712002491
"7",1995,-0.287167233870094
"8",1996,1.64859004962994
"9",1997,0.977335737404086
"10",1998,1.7214582530546
"11",1999,-0.182473073490135
"12",2000,0.440692152506988
"13",2001,0.767338232306717
"14",2002,1.33407382498277
"15",2003,1.45571934072036
"16",2004,0.35549288521408
"17",2005,1.19031294476152
"18",2006,-0.708533379543129
"19",2007,-0.410643153904515
"20",2008,-0.459408506130492
"21",2009,-0.419171073816762
"22",2010,-0.00529625558547765
"23",2011,0.996703957284951
"24",2012,-0.302397266301968
"25",2013,-0.104862560292677
"26",2014,1.80930211080937
"27",2015,0.153916955066183
"28",2016,0.671305660130721
"29",2017,-0.0391258500292395
"30",2018,3.25905014686083
"31",2019,2.51573300460704
"32",2021,2.35234869163681
"33",2022,-0.585294120697494
"34",2023,-0.287326538361402
"35",2024,0.442163666922968
"36",2025,0.677105644839166
