"","YEAR","temp_occ"
"1",1989,2.14003728108098
"2",1990,0.149786288972921
"3",1991,0.975101079013841
"4",1992,0.487946580402934
"5",1993,0.882190895879352
"6",1994,-0.632197334414308
"7",1995,-0.281932299435286
"8",1996,1.64641803885606
"9",1997,0.949287010537272
"10",1998,1.76350956379324
"11",1999,-0.193318204551708
"12",2000,0.494553431580077
"13",2001,0.88507492437342
"14",2002,1.36611222881964
"15",2003,1.52658079261906
"16",2004,0.313470222065777
"17",2005,1.10608465839986
"18",2006,-0.681162871340293
"19",2007,-0.431524334015032
"20",2008,-0.48635764113072
"21",2009,-0.353838927918556
"22",2010,0.0549401673929911
"23",2011,1.03956714731775
"24",2012,-0.25509469285341
"25",2013,-0.0593557314650272
"26",2014,1.82992106145004
"27",2015,0.286623546756332
"28",2016,1.05783152818616
"29",2017,0.131956135605169
"30",2018,3.25152691463576
"31",2019,2.5308608827297
"32",2021,2.34505255917519
"33",2022,-0.494398361184298
"34",2023,-0.286535341624439
"35",2024,0.51169806510146
"36",2025,0.759761802410745
