"","YEAR","temp_occ"
"1",1989,2.07964175872172
"2",1990,0.184267454317164
"3",1991,0.975606778510783
"4",1992,0.63159505800564
"5",1993,0.87279313698121
"6",1994,-0.641312258744424
"7",1995,-0.305263194781749
"8",1996,1.62999889761887
"9",1997,0.961255620061562
"10",1998,1.74466938335189
"11",1999,-0.177175212639616
"12",2000,0.460785779250258
"13",2001,0.812202387372629
"14",2002,1.35018692730839
"15",2003,1.46047352389728
"16",2004,0.320479363167878
"17",2005,1.1731395541135
"18",2006,-0.68201487191263
"19",2007,-0.430723392469233
"20",2008,-0.448144404839172
"21",2009,-0.39216114484154
"22",2010,0.0276929102188273
"23",2011,1.02594513780119
"24",2012,-0.275101234873021
"25",2013,-0.103101050891623
"26",2014,1.8225935897059
"27",2015,0.223180597441635
"28",2016,0.799710849500407
"29",2017,0.0240158304977658
"30",2018,3.26309084665318
"31",2019,2.53517555608276
"32",2021,2.34367889730893
"33",2022,-0.555652919590458
"34",2023,-0.282912044031235
"35",2024,0.449870379685008
"36",2025,0.675424984265173
